datatype	DATA_FILENAME	META_FILENAME	META_STABLE_ID	META_GENETIC_ALTERATION_TYPE	META_DATATYPE	META_SHOW_PROFILE_IN_ANALYSIS_TAB	META_PROFILE_NAME	META_PROFILE_DESCRIPTION	META_REFERENCE_GENOME_ID	META_GENERIC_ASSAY_TYPE	META_GENERIC_ENTITY_meta_PROPERTIES
rnaseq-gene-expression-zscores	data_mrna_seq_expression_zscores_ref_all_samples.txt	meta_mrna_seq_expression_zscores_ref_all_samples.txt	rna_seq_mrna_median_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores (RNA Seq RPKM)	mRNA z-scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.			
mirna-expression	data_expression_miRNA.txt	meta_expression_miRNA.txt	mirna	MRNA_EXPRESSION	CONTINUOUS	FALSE	microRNA expression	Expression levels for microRNAs.			
mirna-median-zscores	data_miRNA_median_Zscores.txt	meta_miRNA_median_Zscores.txt	mirna_median_Zscores	MRNA_EXPRESSION	Z-SCORE	FALSE	microRNA expression z-scores	microRNA expression z-scores compared to all tumors.			
mirna-merged-median-zscores	data_expression_merged_median_Zscores.txt	meta_expression_merged_median_Zscores.txt	mrna_merged_median_Zscores	MRNA_EXPRESSION	Z-SCORE	FALSE	mRNA/miRNA expression z-scores (all genes)	mRNA and microRNA z-scores merged: mRNA expression z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-scores compared to all tumours.			
mirna-expression	data_mirna.txt	meta_mirna.txt	mirna	MRNA_EXPRESSION	CONTINUOUS	FALSE	microRNA expression	Expression levels for microRNAs.			
mirna-median-zscores	data_mirna_zscores.txt	meta_mirna_zscores.txt	mirna_median_Zscores	MRNA_EXPRESSION	Z-SCORE	FALSE	microRNA expression z-scores	microRNA expression z-scores compared to all tumors.			
mirna-merged-median-zscores	data_mrna_mirna_merged_zscores.txt	meta_mrna_mirna_merged_zscores.txt	mrna_merged_median_Zscores	MRNA_EXPRESSION	Z-SCORE	FALSE	mRNA/miRNA expression z-scores (all genes)	mRNA and microRNA z-scores merged: mRNA expression z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-scores compared to all tumours.			
gsva-scores	data_gsva_scores.txt	meta_gsva_scores.txt	gsva_scores	GENESET_SCORE	GSVA-SCORE	FALSE	GSVA scores				
gsva-pvalues	data_gsva_pvalues.txt	meta_gsva_pvalues.txt	gsva_pvalues	GENESET_SCORE	P-VALUE	FALSE	GSVA p-values				
drug-treatment-ic50	data_drug_treatment_ic50.txt	meta_drug_treatment_ic50.txt	CCLE_drug_treatment_IC50	GENERIC_ASSAY	LIMIT-VALUE	TRUE	Treatment response: IC50	Treatment response: IC50			
drug-treatment-ic50-zscores	data_drug_treatment_zscore.txt	meta_drug_treatment_zscore.txt	CCLE_drug_treatment_zscore	GENERIC_ASSAY	LIMIT-VALUE	TRUE	Treament response: z-score of IC50	Treament response: z-score of IC50			
drug-treatment-auc	data_drug_treatment_auc.txt	meta_drug_treatment_auc.txt	CCLE_drug_treatment_AUC	GENERIC_ASSAY	LIMIT-VALUE	TRUE	Treatment response: AUC	Treatment response: AUC			
microbiome-signatures	data_microbiome.txt	meta_microbiome.txt	microbiome_signature	GENERIC_ASSAY	LIMIT-VALUE	TRUE	Cancer Microbiome Data (log2-CPM Normalized)	Microbial Signatures (log-cpm) from whole genome and whole-transcriptome sequencing studies of TCGA.		MICROBIOME_SIGNATURE	NAME,DESCRIPTION,URL
mutational-signature-contribution-v2	data_mutational_signature_contribution_v2.txt	meta_mutational_signature_contribution_v2.txt	mutational_signature_contribution_v2	GENERIC_ASSAY	LIMIT-VALUE	TRUE	mutational signature contribution v2	profile for contribution value of mutational signatures (COSMIC version 2)			
mutational-signature-pvalue-v2	data_mutational_signature_pvalue_v2.txt	meta_mutational_signature_pvalue_v2.txt	mutational_signature_pvalue_v2	GENERIC_ASSAY	LIMIT-VALUE	FALSE	mutational signature pvalue v2	profile for pvalue of mutational signatures (COSMIC version 2)			
mutational-signature-contribution-v3	data_mutational_signature_contribution_v3.txt	meta_mutational_signature_contribution_v3.txt	mutational_signature_contribution_v3	GENERIC_ASSAY	LIMIT-VALUE	TRUE	mutational signature contribution v3	profile for contribution value of mutational signatures (COSMIC version 3)			
mutational-signature-pvalue-v3	data_mutational_signature_pvalue_v3.txt	meta_mutational_signature_pvalue_v3.txt	mutational_signature_pvalue_v3	GENERIC_ASSAY	LIMIT-VALUE	FALSE	mutational signature pvalue v3	profile for pvalue of mutational signatures (COSMIC version 3)			
resource-definition	data_resource_definition.txt	meta_resource_definition.txt									
resource-study	data_resource_study.txt	meta_resource_study.txt									
resource-sample	data_resource_sample.txt	meta_resource_sample.txt									
acetylprotein-quantification	data_acetylprotein_quantification.txt	meta_acetylprotein_quantification.txt	acetylprotein_quantification	GENERIC_ASSAY	CONTINUOUS	FALSE	Abundance ratio for acetylproteins (mass spectrometry)	Abundance ratio for acetylproteins (mass spectrometry)			
lipidome-positive-quantification	data_lipidome_positive_quantification.txt	meta_lipidome_positive_quantification.txt	lipidome_positive_quantification	GENERIC_ASSAY	CONTINUOUS	FALSE	Abundance log2 ratio for lipids positive mode (mass spectrometry)	Abundance log2 ratio for lipids positive mode (mass spectrometry)			
lipidome-negative-quantification	data_lipidome_negative_quantification.txt	meta_lipidome_negative_quantification.txt	lipidome_negative_quantification	GENERIC_ASSAY	CONTINUOUS	FALSE	Abundance log2 ratio for lipids negative mode (mass spectrometry)	Abundance log2 ratio for lipids negative mode (mass spectrometry)			
crna-quantification	data_circular_rna.txt	meta_circular_rna.txt	crna_quantification	GENERIC_ASSAY	CONTINUOUS	FALSE	Expression of circular RNA abundance in FPKM-UQ values	Expression of circular RNA abundance in FPKM-UQ values			
single-cell-type-fractions	data_single_cell_type_fractions.txt	meta_single_cell_type_fractions.txt	single_cell_type_fractions	GENERIC_ASSAY	CONTINUOUS	FALSE	Single cell - cell type assignment fractions	Cell type assignments		SINGLE_CELL_TYPE_FRACTIONS	Name,Description,Url
single-cell-cycle-phases	data_single_cell_cycle_phases.txt	meta_single_cell_cycle_phases.txt	single_cell_cycle_phases	GENERIC_ASSAY	CONTINUOUS	FALSE	Single cell - cell cycle phase values	Cell growth phase assignments		SINGLE_CELL_CYCLE_PHASES	Name,Description,Url
gene-panel	data_gene_panel.txt			GENE_PANEL_MATRIX	GENE_PANEL_MATRIX						
gene-panel	data_gene_panel_*.txt			GENE_PANEL_MATRIX	GENE_PANEL_MATRIX						
gene-panel-matrix	data_gene_matrix.txt	meta_gene_matrix.txt		GENE_PANEL_MATRIX	GENE_PANEL_MATRIX						
gene-panel-matrix	data_gene_panel_matrix.txt	meta_gene_panel_matrix.txt		GENE_PANEL_MATRIX	GENE_PANEL_MATRIX						
immune-cell-signature	data_immune_cell_expression_signatures.txt	meta_immune_cell_expression_signatures.txt	immune_cell_signature	GENERIC_ASSAY	LIMIT-VALUE	FALSE	Immune Cell Expression Signatures (Absolute Scores for each Cell Type)	Immune Cell Expression Signatures (absolute scores) generated by CIBERSORT from RNA-seq RPKM data.			
