NORMALIZED_COLUMN_HEADER	DISPLAY_NAME	DESCRIPTIONS	DATATYPE	PRIORITY	ATTRIBUTE_TYPE
CRDB_ENROLL_DX_SUB_SITE	CRDB_ENROLL_DX_SUB_SITE	Site sub description associated with the disease at enrollment for 12-245.	STRING	1	PATIENT
CRDB_ENROLL_DX_SUB_SUB_HIST	CRDB_ENROLL_DX_SUB_SUB_HIST	Histology sub sub description associated with the disease at enrollment for 12-245.	STRING	1	PATIENT
CRDB_ENROLL_DX_SUB_SUB_SITE	CRDB_ENROLL_DX_SUB_SUB_SITE	Site sub sub description associated with the disease at enrollment for 12-245.	STRING	1	PATIENT
CRDB_ENROLL_DX_SUB_SUB_SUB_HIST	CRDB_ENROLL_DX_SUB_SUB_SUB_HIST	Histology sub sub sub description associated with the disease at enrollment for 12-245.	STRING	1	PATIENT
CRDB_ENROLL_DX_T_STAGE	CRDB_ENROLL_DX_T_STAGE	The T Stage of the disease at enrollment for 12-245.	STRING	1	PATIENT
CRDB_ENROLL_DX_T_STAGE_DSCRP	CRDB_ENROLL_DX_T_STAGE_DSCRP	The T Stage description of the disease at enrollment for 12-245.	STRING	1	PATIENT
CRDB_FIRST_METASTASIS_DAYS	CRDB_FIRST_METASTASIS_DAYS	The disease first metastasis date.	NUMBER	1	PATIENT
CRDB_INITIAL_DX_DAYS	CRDB_INITIAL_DX_DAYS	The disease initial diagnosis date.	NUMBER	1	PATIENT
CRDB_INITIAL_SX_DAYS	CRDB_INITIAL_SX_DAYS	The disease initial symptom date.	NUMBER	1	PATIENT
CRDB_INIT_DX_GRADE	CRDB_INIT_DX_GRADE	The grade of the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_GRADE_DSCRP	CRDB_INIT_DX_GRADE_DSCRP	The grade description of the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_HIST	CRDB_INIT_DX_HIST	Histology description associated with the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_M_STAGE	CRDB_INIT_DX_M_STAGE	The M Stage of the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_M_STAGE_DSCRP	CRDB_INIT_DX_M_STAGE_DSCRP	The M Stage description of the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_N_STAGE	CRDB_INIT_DX_N_STAGE	The N Stage of the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_N_STAGE_DSCRP	CRDB_INIT_DX_N_STAGE_DSCRP	The N Stage description of the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_SITE	CRDB_INIT_DX_SITE	Site description associated with the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_STAGE	CRDB_INIT_DX_STAGE	The stage of the disease at the initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_STAGE_DSCRP	CRDB_INIT_DX_STAGE_DSCRP	The stage description at the initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_STAGING_DSCRP	CRDB_INIT_DX_STAGING_DSCRP	The staging system used to determine the stage of the disease at the initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_STATUS	CRDB_INIT_DX_STATUS	The status associated with the disease initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_STATUS_DAYS	CRDB_INIT_DX_STATUS_DAYS	The status date associated with the disease initial diagnosis	STRING	1	PATIENT
CRDB_INIT_DX_STATUS_ID	CRDB_INIT_DX_STATUS_ID	The ID related to the disease status information at diagnosis. Used as CRDB reference.	STRING	1	PATIENT
CRDB_INIT_DX_SUB_HIST	CRDB_INIT_DX_SUB_HIST	Histology sub description associated with the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_SUB_SITE	CRDB_INIT_DX_SUB_SITE	Site sub description associated with the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_SUB_SUB_HIST	CRDB_INIT_DX_SUB_SUB_HIST	Histology sub sub description associated with the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_SUB_SUB_SITE	CRDB_INIT_DX_SUB_SUB_SITE	Site sub sub description associated with the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_SUB_SUB_SUB_HIST	CRDB_INIT_DX_SUB_SUB_SUB_HIST	Histology sub sub sub description associated with the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_T_STAGE	CRDB_INIT_DX_T_STAGE	The T Stage of the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_INIT_DX_T_STAGE_DSCRP	CRDB_INIT_DX_T_STAGE_DSCRP	The T Stage description of the disease at initial diagnosis.	STRING	1	PATIENT
CRDB_NOSYSTXT	CRDB_NOSYSTXT	What is the number of prior systemic therapies (Inclusion of endocrine, cytotoxic, biologic therapies)?	STRING	1	PATIENT
CRDB_OFF_STUDY_DAYS	CRDB_OFF_STUDY_DAYS	The patient's 12-245 off study date.	STRING	1	PATIENT
CRDB_PRIM_DISEASE_12245	CRDB_PRIM_DISEASE_12245	The patient's primary disease entered under 12-245.	STRING	1	PATIENT
CRDB_PRIOR_RX	CRDB_PRIOR_RX	Has the patient received prior radiotherapy?	STRING	1	PATIENT
CRDB_QS_DATE	CRDB_QS_DATE	The date the survey was filled out.	STRING	1	PATIENT
CRDB_SURVEY_COMMENTS	CRDB_SURVEY_COMMENTS	The survey comments at enrollment for 12-245.	STRING	1	SAMPLE
CRDB_SURVIVAL_STATUS	CRDB_SURVIVAL_STATUS	The patient's survival status.	STRING	1	PATIENT
CRDB_TREATMENT_END_DAYS	CRDB_TREATMENT_END_DAYS	The patient's 12-245 treatment end date.	NUMBER	1	PATIENT
CREATININE	Creatinine	Creatinine	NUMBER	1	PATIENT
CREATININE_LEVEL_PRERESECTION	Hematology serum creatinine laboratory result value in mg dl	Hematology serum creatinine laboratory result value in mg dl	NUMBER	1	SAMPLE
CREATININE_NORMAL_RANGE_LOWER	Laboratory procedure creatinine result lower limit of normal value	Laboratory procedure creatinine result lower limit of normal value	NUMBER	1	PATIENT
CREATININE_NORMAL_RANGE_UPPER	Laboratory procedure creatinine result upper limit of normal value	Laboratory procedure creatinine result upper limit of normal value	NUMBER	1	PATIENT
CREATININE_NORM_RANGE_LOWER	Laboratory procedure creatinine result lower limit of normal value	Laboratory procedure creatinine result lower limit of normal value	NUMBER	1	SAMPLE
CREATININE_NORM_RANGE_UPPER	Laboratory procedure creatinine result upper limit of normal value	Laboratory procedure creatinine result upper limit of normal value	NUMBER	1	SAMPLE
CREATININE_PRIOR_TX	Laboratory procedure creatinine prior treatment	Laboratory procedure creatinine prior treatment	NUMBER	1	SAMPLE
CRITERIA	Criteria	Criteria	STRING	1	SAMPLE
CRX	Crx	Crx	NUMBER	1	PATIENT
CR_STATUS_AT_END_OF_COURSE_1	CR Status at End of Course 1	CR status at end of course 1.	STRING	1	PATIENT
CR_STATUS_AT_END_OF_COURSE_2	CR Status at End of Course 2	CR status at end of course 2.	STRING	1	PATIENT
CSDE1_SOMATIC	CSDE1 Somatic Mutation	CSDE1 Somatic Mutation	STRING	1	SAMPLE
CTCF_MUTATION_STATUS	CTCF Mutation Status	CTCF Mutation Status	STRING	1	SAMPLE
CTNNB1_DELETION	CTNNB1 Deletion	CTNNB1 Deletion	STRING	1	SAMPLE
CTNNB1_MUTATION	CTNNB1 Mutation	CTNNB1 Mutation is present	STRING	1	SAMPLE
CT_ABDOMEN	CT Abdomen	CT Abdomen	STRING	1	PATIENT
CT_CAP	CT Cap	CT Cap	STRING	1	PATIENT
CT_CHEST	CT Chest	CT Chest	STRING	1	PATIENT
CT_SCAN_AB_PELVIS_INDICATOR	Ct scan ab pelvis indicator	Diagnostic ct abd pelvis performed	STRING	1	PATIENT
CT_SCAN_AB_PELVIS_RESULTS	Ct scan ab pelvis results	Diagnostic ct abd pelvis result	STRING	1	PATIENT
CT_SCAN_PERFORMED	CT Scan Performed	Yes/No indicator to determine whether a CT scan was performed.	STRING	1	PATIENT
CT_SCAN_PREOP_RESULTS	Ct scan preop results	Diagnostic ct result outcome	STRING	1	PATIENT
CT_SLICE_SPACING	CT Slice Spacing	Distance in mm between CT scan images used to assess quality of volumetric analysis	STRING	1	PATIENT
CUD_CATEGORY	Cancer of Unknown Driver Category	Cancer of Unknown Driver Category	STRING	1	SAMPLE
CULTURE_PROPERTIES	Culture Properties	The cells are adherent or in suspension	STRING	1	SAMPLE
CURATIVE	Curative	Curative	NUMBER	1	PATIENT
CURRENT_CLINICAL_STATUS	Current Clinical Status	Current Clinical Status	STRING	1	PATIENT
CURRENT_PDX_PASSAGE	Current PDX Passage	Current PDX Passage	STRING	1	SAMPLE
CYSTECTOMY_N_STAGE	Cystectomy N stage	Cystectomy N stage	STRING	1	PATIENT
CYSTECTOMY_PRIMARY_HISTOLOGY	Cystectomy primary histology	Cystectomy primary histology	STRING	1	SAMPLE
CYSTECTOMY_T_STAGE	Cystectomy T stage	Cystectomy T stage	STRING	1	SAMPLE
CYSTECTOMY_VARIANT_HISTOLOGY	Cystectomy variant histology	Cystectomy variant histology	STRING	1	SAMPLE
CYST_SIZE	Cyst Size (cm)	Cyst Size (cm)	NUMBER	1	SAMPLE
CYTOGENETICS	Cytogenetics	Cytogenetics.	NUMBER	1	PATIENT
CYTOGENETICS_CATEGORY	Cytogenetics Category	Cytogenetics Category	STRING	1	PATIENT
CYTOGENETIC_ABNORMALITY_TYPE	Cytogenetic abnormality type	Cytogenetic abnormality type	STRING	1	PATIENT
CYTOGENETIC_CODE_OTHER	Cytogenetic Code (Other)	Cytogenetic Abnormality Other Code Text	STRING	1	PATIENT
CYTOGENETIC_COMPLEXITY	Cytogenetic Complexity	Cytogenetic Abnormality Number of abnormalities	STRING	1	PATIENT
CYTOGENETIC_RELAPSE_SITE	Cytogenetic Relapse Site	Recurrent Disease Cytogenetics Present Indicator	STRING	1	PATIENT
CYTOLOGICAL_PHENOTYPE	Cytological Phenotype	Cytological Phenotype	STRING	1	SAMPLE
CYTOLOGY	Cytology	Cytology	STRING	1	SAMPLE
CYTOLYTIC_SCORE	Cytolytic Score	RNA-Seq Cytolytic Score	NUMBER	1	SAMPLE
CYTOPLASM_PRESENCE_LESS_THAN_EQUAL_25_PERCENT	Cytoplasm Presence Less Than Equal 25 Percent	Cytoplasm Presence Less Than Equal 25 Percent	STRING	1	PATIENT
CYTOREDUCTIVE_SURGERY	Cytoreductive Surgery	Cytoreductive Surgery	STRING	1	PATIENT
CYTOTOXIC_TREATMENT	Cytotoxic Treatment	Cytotoxic Treatment	STRING	1	PATIENT
C_A	C>A	C>A	STRING	1	SAMPLE
C_G	C>G	C>G	STRING	1	SAMPLE
C_N_STAGE	cN Stage	cN Stage	STRING	1	SAMPLE
C_SAMP_METH_K3	C Samp METH K3	C samp meth K3.	STRING	1	SAMPLE
C_SAMP_MIRNA_K4	C Samp MIRNA K4	C samp mirna K4.	STRING	1	SAMPLE
C_SAMP_MIRNA_K6	C Samp MIRNA K6	C samp mirna K6.	STRING	1	SAMPLE
C_SAMP_MRNA_K4	C Samp MRNA K4	C samp mrna K4.	STRING	1	SAMPLE
C_SAMP_SCNA_CLUSTER	C Samp SCNA Cluster	C samp scna cluster.	STRING	1	SAMPLE
C_T	C>T	C>T	STRING	1	SAMPLE
DAILY_ALCOHOL	Daily Alcohol	Daily alcohol	STRING	1	PATIENT
DARK	Primary exome sample with no driver found	Primary exome sample with no driver found	STRING	1	PATIENT
DARK_ZONE_STAT	DZ Stat	Dark zone stat at transplant.	STRING	1	PATIENT
DARWIN_AGE_AT_DIAGNOSIS	DARWIN_AGE_AT_DIAGNOSIS	Patient age at time of diagnosis.	NUMBER	1	PATIENT
DARWIN_PATIENT_AGE	DARWIN_PATIENT_AGE	The patient age.	NUMBER	9	PATIENT
DARWIN_RACE	DARWIN_RACE	Patient race, as supplied by darwin.	STRING	1	PATIENT
DARWIN_RELIGION	DARWIN_RELIGION	Patient religion, as supplied by darwin.	STRING	1	PATIENT
DARWIN_SEX	DARWIN_SEX	Patient sex, as supplied by darwin.	STRING	1	PATIENT
DARWIN_VITAL_STATUS	DARWIN_VITAL_STATUS	Patient vital status, as supplied by darwin.	STRING	9	PATIENT
DATA	Data	Data	STRING	1	SAMPLE
DATA_CORE_SAMPLE	Data Core Sample	Data core sample.	STRING	1	SAMPLE
DATA_FREEZE_STATUS	Data Freeze Status	Data Freeze Status	STRING	1	SAMPLE
DATA_SOURCE	Data Source	Data Source	STRING	1	PATIENT
DATE_ADDED	Date added to cBioPortal	Date added to cBioPortal	STRING	1	SAMPLE
DATE_ADDITIONAL_CLINICAL_DATA_ADDED	Date Additional Clinical data added	Date Additional Clinical data added	STRING	1	SAMPLE
DATE_OF_BIOPSY	Date of diagnostic boiopsy	Date of diagnostic biopsy	STRING	1	PATIENT
DATE_OF_BIOPSY_RELAPSE	Date of relapse biopsy	Date of relapse biopsy	STRING	1	SAMPLE
DATE_OF_DIAGNOSIS	Date Of Diagnosis	Date of Diagnosis	STRING	1	PATIENT
DAXX_STATUS	DAXX status	DAXX status	STRING	1	SAMPLE
DAYS_FROM_SURGERY_TO_DEATH	Days from surgery to death	Days from surgery to death	STRING	1	PATIENT
DAYS_FROM_SURGERY_TO_LAST_FOLLOWUP	Days from surgery to last followup	Days from surgery to last followup	NUMBER	1	PATIENT
DAYS_FROM_SURGERY_TO_RECURRENCE	Days from surgery to recurrence	Days from surgery to recurrence	NUMBER	1	PATIENT
DAYS_LAST_FOLLOWUP	Last Communication Contact from Initial Pathologic Diagnosis Date	Time interval from the date of last followup to the date of initial pathologic diagnosis, represented as a calculated number of days..	NUMBER	1	PATIENT
DAYS_METASTATIC	Metastasis Less Initial Pathologic Diagnosis Date Calculated Day Value	Time interval from the date of metastasis discovery to the date of initial pathologic diagnosis, represented as a calculated number of days.	NUMBER	1	PATIENT
DAYS_TO_ADDITIONAL_SURGERY_METASTATIC_PROCEDURE	Days to additional surgery metastatic procedure	Days to additional surgery metastatic procedure.	NUMBER	1	PATIENT
DAYS_TO_BILATERAL_TUMOR_DX	Days to bilateral tumor dx	Days to bilateral tumor dx	NUMBER	1	PATIENT
DAYS_TO_BIOCHEMICAL_RECURRENCE_FIRST	Days to biochemical recurrence first	Days to first biochemical recurrence	NUMBER	1	PATIENT
DAYS_TO_BIRTH	Birth from Initial Pathologic Diagnosis Date	Time interval from a person's date of birth to the date of initial pathologic diagnosis, represented as a calculated number of days.	NUMBER	1	PATIENT
DAYS_TO_BONE_SCAN_PERFORMED	Days to bone Scan performed	Days to bone Scan performed	NUMBER	1	PATIENT
DAYS_TO_CELL_SURFACE_MARKER_TEST	Days To Cell Surface Marker Test	Days To Cell Surface Marker Test	NUMBER	1	PATIENT
DAYS_TO_COLLECTION	Days to Sample Collection.	Days to sample collection.	NUMBER	1	SAMPLE
DAYS_TO_CT_SCAN_AB_PELVIS	Days to ct scan ab pelvis	Days to diagnostic computed tomography performed	NUMBER	1	PATIENT
DAYS_TO_DEATH	Death from Initial Pathologic Diagnosis Date	Time interval from a person's date of death to the date of initial pathologic diagnosis, represented as a calculated number of days.	NUMBER	1	PATIENT
DAYS_TO_DEFINITIVE_SURGICAL_PROCEDURE_PERFORMED	Days to definitive surgical procedure performed	Days to definitive surgical procedure performed	NUMBER	1	PATIENT
DAYS_TO_DIAGNOSIS	Days to Diagnosis	Days to diagnosis.	NUMBER	1	PATIENT
DAYS_TO_DIAGNOSTIC_COMPUTED_TOMOGRAPHY_PERFORMED	Days to diagnostic computed tomography performed	Days to diagnostic computed tomography performed	NUMBER	1	PATIENT
DAYS_TO_DIAGNOSTIC_MRI_PERFORMED	Days to diagnostic mri performed	Days to diagnostic mri performed	NUMBER	1	PATIENT
DAYS_TO_EVENT	Time To Event (days)	Time To Event (days)	NUMBER	1	PATIENT
DAYS_TO_FDG_OR_CT_PET_PERFORMED	Days to fdg or ct pet performed	Days to fdg or ct pet performed	NUMBER	1	PATIENT
DAYS_TO_FIRST_BIOCHEMICAL_RECURRENCE	Days to First Biochemical Recurrence	Days to biochemical recurrence.	NUMBER	1	PATIENT
DAYS_TO_FIRST_SMN	Time to first SMN (days)	Time to first SMN (days)	NUMBER	1	PATIENT
DAYS_TO_HIV_DIAGNOSIS	HIV Diagnosis (Days)	Days to HIV diagnosis	NUMBER	1	PATIENT
DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS	Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value	Time interval from the last day on which a person is known to be alive to the date of initial pathologic diagnosis, represented as a calculated number of days.	NUMBER	1	PATIENT
DAYS_TO_INITIAL_SCORE_PERFOR	Days to Initial Score Performance	Days to initial score performance.	NUMBER	1	PATIENT
DAYS_TO_LABORATORY_PROCEDURE_TUMOR_MARKER_SQUAMOUS_CELL_CARCINOMA_ANTIGEN_RESULT	Days to laboratory procedure tumor marker squamous cell carcinoma antigen result	Days to laboratory procedure tumor marker squamous cell carcinoma antigen result	NUMBER	1	PATIENT
DAYS_TO_LAST_FOLLOWUP	Days to Last Followup	Time interval from the date of last followup to the date of initial pathologic diagnosis, represented as a calculated number of days.	NUMBER	1	PATIENT
DAYS_TO_LAST_KNOWN_ALIVE	Last Known Alive Status Less Initial Pathologic Diagnosis Date Calculated Day Value	Time interval from the date of last known alive status to the date of initial pathologic diagnosis, represented as a calculated number of days.	NUMBER	1	PATIENT
DAYS_TO_MRI	Days to mri	Days to diagnostic mri performed	NUMBER	1	PATIENT
DAYS_TO_NEW_TUMOR_EVENT	New Tumor Event Less Initial Pathologic Diagnosis Date Calculated Day Value	Time interval from the date of new tumor event including progression, recurrence and new primary malignacies to the date of initial pathologic diagnosis, represented as a calculated number of days.	NUMBER	1	PATIENT
DAYS_TO_NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT	days to new tumor event after initial treatment	days to new tumor event after initial treatment	NUMBER	1	PATIENT
DAYS_TO_NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT_1	days to new tumor event after initial treatment 1	days to new tumor event after initial treatment 1	NUMBER	1	PATIENT
DAYS_TO_PATIENT_PROGRESSION_FREE	days_to_patient_progression_free	days_to_patient_progression_free	STRING	1	PATIENT
DAYS_TO_PERFORMANCE_STATUS_ASSESSMENT	Days to performance status assessment	Days to performance status assessment	NUMBER	1	PATIENT
DAYS_TO_POST_ORCHI_SERUM_TEST	Days to post orchi serum test	Days to post orchi serum test	NUMBER	1	PATIENT
DAYS_TO_PRE_ORCHI_SERUM_TEST	Days to pre orchi serum test	Days to pre orchi serum test	NUMBER	1	PATIENT
DAYS_TO_PSA	Days to PSA	Days to Prostate-Specific Antigen (PSA) Test	NUMBER	1	PATIENT
DAYS_TO_RESULTS	Days to Results	Days to Results	NUMBER	1	PATIENT
DAYS_TO_SPECIMEN_COLLECTION	Days to Sample Procurement	Days to sample procurement.	STRING	1	SAMPLE
DAYS_TO_TREATMENT_END	Treatment End (Days)	Days to treatment end	NUMBER	1	PATIENT
DAYS_TO_TREATMENT_START	Treatment Start (Days)	Days to treatment start	NUMBER	1	PATIENT
DAYS_TO_TUMOR_PROGRESSION	days_to_tumor_progression	days_to_tumor_progression	STRING	1	PATIENT
DAY_TO_RELAPSE	Time To Relapse (days)	Time To Relapse (days)	NUMBER	1	PATIENT
DCIS_GRADE	DCIS Grade	DCIS Grade	NUMBER	1	PATIENT
DDR_MUTATION	DDR Gene Mutation	DDR Gene Mutation	STRING	1	SAMPLE
DEATH_FROM_DISEASE	Death due to disease	Death due to disease	STRING	1	PATIENT
DECADRON_TREATMENT	Decadron Treatment	Decadron Treatment	STRING	1	PATIENT
DEFINITIVE_SURGERY	Definitive Surgery	Definitive surgery.	STRING	1	PATIENT
DEFINITIVE_SURGICAL_PROCEDURE	Specimen collection method name	Specimen collection method name	STRING	1	SAMPLE
DEFINITIVE_TX_TYPE	Definitive TX Type	Definitive TX type.	STRING	1	PATIENT
DEL_11Q	del(11q), ATM	del(11q), ATM	STRING	1	SAMPLE
DEL_12P13	del(12p13)	del(12p13)	STRING	1	SAMPLE
DEL_13Q	del(13q)	del(13q)	STRING	1	SAMPLE
DEL_13Q14	del(13q14) = ETV6 gene	del(13q14) = ETV6 gene	STRING	1	SAMPLE
DEL_16Q	del(16q)	del(16q)	STRING	1	SAMPLE
DEL_17Q13	del(17p13) = loss of p53	del(17p13) = loss of p53	STRING	1	SAMPLE
DEL_1Q	del(1q)	del(1q)	STRING	1	SAMPLE
DEL_20Q	del(20q)	del(20q)	STRING	1	SAMPLE
DEL_4Q12	del(4q12)	del(4q12)	STRING	1	SAMPLE
DEL_5Q	5Q Deletion	5Q deletion.	STRING	1	SAMPLE
DEL_6Q	del(6q)	del(6q)	STRING	1	SAMPLE
DEL_7	del(7)	del(7)	STRING	1	SAMPLE
DEL_7Q	7Q Deletion	7Q deletion.	STRING	1	SAMPLE
DEL_9Q	9Q Deletion	9Q deletion.	STRING	1	SAMPLE
DEL_FEATURE	Del Feature	Del Feature	STRING	1	SAMPLE
DEMIX_PURITY	DeMix Purity	DeMix Purity	NUMBER	1	SAMPLE
DENDRITIC_CELLS_ACTIVATED	Dendritic cells activated	Dendritic cells activated	NUMBER	1	SAMPLE
DENDRITIC_CELLS_RESTING	Dendritic cells resting	Dendritic cells resting	NUMBER	1	SAMPLE
DERMAGRPHX_DES	Dermatology Photographs	Total body photographs taken by Dermatology (ie. No, Yes, Unknown).	STRING	1	SAMPLE
DETAILED_METASTATIC_SITE	Detailed Metastatic Site	Detailed Metastatic Site	STRING	1	SAMPLE
DETAILED_PRIMARY_SITE	Detailed Primary Site	Detailed Primary Site	STRING	1	PATIENT
DETAILED_SAMPLE_HISTOLOGY_CATEGORY	Detailed Sample Histology Category	Detailed Sample Histology Category	STRING	1	SAMPLE
DETAILS_FIRST_LINE_COMMENTS	Details on First Line & Comments	Details on First Line & Comments	STRING	1	PATIENT
DE_NOVO_START_OUTOFFRAME	de novo start outofframe	de novo start outofframe	STRING	1	SAMPLE
DFS_EVENT	Disease Free Event	Disease Free Event	STRING	1	PATIENT
DFS_MONTHS	Disease Free (Months)	Disease free (months) since initial treatment.	NUMBER	1	PATIENT
DFS_STATUS	Disease Free Status	Disease free status since initial treatment.	STRING	1	PATIENT
DIABETES_DIAGNOSIS_DAYS_TO	Diabetes Onset Less Initial Pathologic Diagnosis Date Calculated Day Value	The number of days from the date the patient was diagnosed with cancer to the date of the patient's diagnosis of diabetes.	STRING	1	PATIENT
DIABETES_DIAGNOSIS_INDICATOR	Participant Personal Medical History Diabetes Mellitus Ind-3	Participant medical history -diabetes mellitus: a metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization._A term that is used to indicate a question with permissible values of yes/no/unknown.	STRING	1	PATIENT
DIABETES_STATUS	Diabetes Status	Diabetes Status	STRING	1	PATIENT
DIAGNOSIS	Diagnosis	Diagnosis.	STRING	1	PATIENT
DIAGNOSTIC_CT_ABD_PELVIS_RESULT	Diagnostic CT Abdomin-Pelvis Result	Diagonostic CT abdomin-pelvis result.	STRING	1	PATIENT
DIAGNOSTIC_MRI_RESULT	Diagonstic MRI Result	Diagonostic MRI result.	STRING	1	PATIENT
DIAGNOSTIC_REFRACTORY_RELAPSE	DIAGNOSTIC, REFRACTORY or RELAPSE	DIAGNOSTIC, REFRACTORY or RELAPSE	STRING	1	SAMPLE
DIAGNOSTIC_TYPE	CAISIS (Diagnostic Type)	Type of diagnostics used , as provided by CAISIS.	STRING	1	PATIENT
DIAGNOSTIC_TYPE_DETAILED	Diagnostic Type Detailed	Diagnostic Type Detailed	STRING	1	SAMPLE
DIAGNOSTIC_TYPE_SITE	Diagnostic Type Site	Diagnostic Type Site	STRING	1	PATIENT
DIFF	Diff	Diff	NUMBER	1	PATIENT
DIFFERENTIATION	Differentiation	Differentiation	STRING	1	SAMPLE
DIFFERENTIATION_SCORE	Differentiation Score	Differentiation Score	NUMBER	1	SAMPLE
DIFFUSE_ARCHITECTURE	Diffuse Architecture	Diffuse Architecture	STRING	1	PATIENT
DISCONTINUOUS_LESIONS_COUNT	Discontinuous lesions count	Discontiguous lesion count	NUMBER	1	PATIENT
DISEASE_AT_DIAGNOSIS	Disease at Diagnosis	Disease at diagnosis	STRING	1	PATIENT
DISEASE_CLASSIFICATION	Disease Classification	The broad FMI tissue/disease classification for the specimen (used during analysis in applying base substitution priors)	STRING	1	SAMPLE
DISEASE_CODE	Disease code	Disease code	STRING	1	SAMPLE
DISEASE_DETECTED_ON_SCREENING	Screening Diagnosis Disease Detection Indicator	Indicator to signify whether or not the disease was detected by screening.	STRING	1	PATIENT
DISEASE_EXTENT	Disease Extent At Time IMPACT Was Sent	Disease Extent At Time IMPACT Was Sent	STRING	1	PATIENT
DISEASE_MULTIFOCAL_INDICATOR	Disease multifocal indicator	Disease multifocal indicator	STRING	1	PATIENT
DISEASE_ONTOLOGY	Disease Ontology	Disease Ontology	STRING	1	PATIENT
DISEASE_RECURRENCE_OR_PERSISTENCE	Disease Recurrence or Persistence	Disease Recurrence or Persistence	STRING	1	PATIENT
DISEASE_SPECIFIC_FU	Disease specific FU	Disease specific FU	NUMBER	1	PATIENT
DISEASE_STAGE	Disease Stage	Disease Stage	STRING	1	SAMPLE
DISEASE_STATE_TIME_OF_COLLECTION	Disease State at time of tissue collection	Disease State at time of tissue collection	STRING	1	PATIENT
DISEASE_STATUS	Disease Status	Disease Status	STRING	1	PATIENT
DISTANCE_FROM_ANAL_VERGE	Distance from Anal Verge	Distance from Anal Verge	STRING	1	PATIENT
DISTANT_METASTASIS_PATHOLOGIC_SPREAD	Distant Metastasis Pathologic Spread	Distant metastasis pathologic spread.	STRING	1	SAMPLE
DISTANT_METS	Distant Metastasis	Distant Metastasis	STRING	1	SAMPLE
DISTANT_MET_CHEMO_IMMUNO	Distant Metastasis Chemo/Immuno	Distant Metastasis Chemo/Immuno	STRING	1	PATIENT
DISTANT_RECURRENCE	Distant Recurrence	Distant recurrence.	STRING	1	PATIENT
DISTANT_RECURRENCE_NUM	Number of Distant Recurrence	Number of Distant Recurrence	NUMBER	1	PATIENT
DISTANT_RECURRENCE_SITE	Distant Recurrence Site	Distant Recurrence Site	STRING	1	PATIENT
DISTANT_RFS_MONTHS	Distan RFS (Months)	Distan RFS (Months)	NUMBER	1	PATIENT
DM_AT_PRESENTATION	DM at Presentation	DM at Presentation	STRING	1	SAMPLE
DM_SITE_CODE	DM Site	DM Site	STRING	1	SAMPLE
DNA_INDEX	DNA Index	DNA index.	STRING	1	SAMPLE
DNA_INPUT	DNA Input	DNA Input	STRING	1	SAMPLE
DNA_METHYLATION_CLUSTER_EC	DNA Methylation Cluster - EC	DNA Methylation Cluster - EC	STRING	1	SAMPLE
DNA_METHYLATION_CLUSTER_GEA	DNA Methylation Cluster - GEA	DNA Methylation Cluster - GEA	STRING	1	SAMPLE
DNA_METHYLATION_CLUSTER_GEA_CIN	DNA Methylation Cluster - GEA-CIN	DNA Methylation Cluster - GEA-CIN	STRING	1	SAMPLE
DNA_METHYLATION_CLUSTER_SCC	DNA Methylation Cluster - SCC	DNA Methylation Cluster - SCC	STRING	1	SAMPLE
DNA_REPAIR_STATUS	DNA Repair Status	DNA Repair Status	STRING	1	SAMPLE
DOCE	DOCE	DOCE.	STRING	1	SAMPLE
DOD	Died Of Disease	Died Of Disease	STRING	1	PATIENT
DOMAIN	Domain	Domain	STRING	1	SAMPLE
DONOR_SOURCE	Donor Source	Donor Source	STRING	1	PATIENT
DOPAMINE	Dopamine Secreting	Dopamine Secreting	STRING	1	SAMPLE
DOSAGE	Dosage	Dosage	STRING	1	PATIENT
DOUBLING_TIME	Doubling Time (hrs)	Doubling time  (hrs)	NUMBER	1	SAMPLE
