enst_id	ensp_id	uniprot_protein_length	Final_mapping_uniprot_id	Gene_Symbol
ENST00000286794	ENSP00000286794	229	Q9BSU3	NAA11
ENST00000286800	ENSP00000286800	736	O14867	BACH1
ENST00000286808	ENSP00000286808	224	P56750	CLDN17
ENST00000286809	ENSP00000286809	225	P56748	CLDN8
ENST00000286827	ENSP00000286827	1591	Q13009	TIAM1
ENST00000286835	ENSP00000286835	1147	O95104	SCAF4
ENST00000286918	ENSP00000286918	317	Q96BM1	ANKRD9
ENST00000286953	ENSP00000286953	58	P56378	ATP5MPL
ENST00000286955	ENSP00000286955	359	P51993	FUT6
ENST00000287020	ENSP00000287020	455	Q6KF10	GDF6
ENST00000287022	ENSP00000287022	111	P14927	UQCRB
ENST00000287025	ENSP00000287025	417	Q96E29	MTERF3
ENST00000287038	ENSP00000287038	115	P62888	RPL30
ENST00000287042	ENSP00000287042	477	Q9ULS6	KCNS2
ENST00000287078	ENSP00000287078	566	Q2T9J0	TYSND1
ENST00000287097	ENSP00000287097	1445	Q6YHK3	CD109
ENST00000287139	ENSP00000287139	347	Q96S42	NODAL
ENST00000287143	ENSP00000287143	225	Q9Y2Y8	PRG3
ENST00000287152	ENSP00000287152	814	Q6ZMV9	KIF6
ENST00000287156	ENSP00000287156	153	O14933	UBE2L6
ENST00000287169	ENSP00000287169	715	Q9C0B5	ZDHHC5
ENST00000287196	ENSP00000287196	630	Q2NL67	PARP6
ENST00000287202	ENSP00000287202	481	Q96J87	CELF6
ENST00000287218	ENSP00000287218	227	Q9H8U3	ZFAND3
ENST00000287239	ENSP00000287239	2073	Q8WYB5	KAT6B
ENST00000287275	ENSP00000287275	294	Q8WU03	GLYATL2
ENST00000287295	ENSP00000287295	613	O95831	AIFM1
ENST00000287322	ENSP00000287322	457	O95429	BAG4
ENST00000287380	ENSP00000287380	1066	Q96DN5	TBC1D31
ENST00000287387	ENSP00000287387	205	Q96HA8	WDYHV1
ENST00000287394	ENSP00000287394	1390	Q6PL18	ATAD2
ENST00000287437	ENSP00000287437	247	Q96MF7	NSMCE2
ENST00000287461	ENSP00000287461	500	Q96CS4	ZNF689
ENST00000287468	ENSP00000287468	460	Q9HAH7	FBRS
ENST00000287482	ENSP00000287482	657	Q6UVJ0	SASS6
ENST00000287490	ENSP00000287490	97	Q02221	COX6A2
ENST00000287497	ENSP00000287497	1152	P11215	ITGAM
ENST00000287538	ENSP00000287538	467	O60481	ZIC3
ENST00000287585	ENSP00000287585	247	Q7Z7J7	LHFPL4
ENST00000287590	ENSP00000287590	401	Q8NFL0	B3GNT7
ENST00000287598	ENSP00000287598	1050	O60566	BUB1B
ENST00000287600	ENSP00000287600	150	O43924	PDE6D
ENST00000287641	ENSP00000287641	116	P61278	SST
ENST00000287652	ENSP00000287652	761	Q93075	TATDN2
ENST00000287667	ENSP00000287667	1222	Q15155	NOMO1
ENST00000287675	ENSP00000287675	368	Q9Y2C4	EXOG
ENST00000287706	ENSP00000287706	310	Q96AB6	NTAN1
ENST00000287713	ENSP00000287713	307	Q9BZQ4	NMNAT2
ENST00000287721	ENSP00000287721	308	P0CW00	TSPY8
ENST00000287727	ENSP00000287727	1425	O95405	ZFYVE9
ENST00000287748	ENSP00000287748	146	Q96KX0	LYZL4
ENST00000287766	ENSP00000287766	599	P30531	SLC6A1
ENST00000287777	ENSP00000287777	621	Q2TBA0	KLHL40
ENST00000287814	ENSP00000287814	224	Q99727	TIMP4
ENST00000287820	ENSP00000287820	505	P37231	PPARG
ENST00000287844	ENSP00000287844	623	Q9UG63	ABCF2
ENST00000287859	ENSP00000287859	454	Q5SWX8	ODR4
ENST00000287878	ENSP00000287878	569	Q9UGJ0	PRKAG2
ENST00000287907	ENSP00000287907	357	P47898	HTR5A
ENST00000287908	ENSP00000287908	490	Q8NFT2	STEAP2
ENST00000287913	ENSP00000287913	328	Q6SA08	TSSK4
ENST00000287916	ENSP00000287916	244	P56749	CLDN12
ENST00000287934	ENSP00000287934	647	Q9UP38	FZD1
ENST00000287936	ENSP00000287936	888	P04035	HMGCR
ENST00000287957	ENSP00000287957	269	Q8WUU5	GATAD1
ENST00000287996	ENSP00000287996	491	Q9H8X2	IPPK
ENST00000288014	ENSP00000288014	230	Q9BU02	THTPA
ENST00000288022	ENSP00000288022	243	Q9HBH1	PDF
ENST00000288025	ENSP00000288025	240	Q8WW62	TMED6
ENST00000288040	ENSP00000288040	446	A5D8T8	CLEC18A
ENST00000288048	ENSP00000288048	194	Q8N1D5	C1orf158
ENST00000288050	ENSP00000288050	879	Q8NCN5	PDPR
ENST00000288071	ENSP00000288071	479	Q9UMR2	DDX19B
ENST00000288078	ENSP00000288078	1084	Q8N0W3	FCSK
ENST00000288087	ENSP00000288087	176	Q86V88	MDP1
ENST00000288098	ENSP00000288098	242	Q6ZMJ4	IL34
ENST00000288111	ENSP00000288111	313	Q96LJ7	DHRS1
ENST00000288135	ENSP00000288135	976	P10721	KIT
ENST00000288167	ENSP00000288167	502	Q9NRM6	IL17RB
ENST00000288177	ENSP00000288177	458	P17023	ZNF19
ENST00000288197	ENSP00000288197	1091	Q8IZS8	CACNA2D3
ENST00000288207	ENSP00000288207	398	O95067	CCNB2
ENST00000288221	ENSP00000288221	957	O15083	ERC2
ENST00000288228	ENSP00000288228	368	Q8TBF8	FAM81A
ENST00000288235	ENSP00000288235	1108	Q12965	MYO1E
ENST00000288266	ENSP00000288266	709	Q9UKG1	APPL1
ENST00000288309	ENSP00000288309	423	P48051	KCNJ6
ENST00000288319	ENSP00000288319	479	P11308	ERG
ENST00000288350	ENSP00000288350	670	O95447	LCA5L
ENST00000288368	ENSP00000288368	1606	Q70Z35	PREX2
ENST00000288390	ENSP00000424400	300	Q496A3	SPATS1
ENST00000288400	ENSP00000288400	519	Q96BA8	CREB3L1
ENST00000288462	ENSP00000288462	461	Q8TAL5	C9orf43
ENST00000288490	ENSP00000288490	1065	O75912	DGKI
ENST00000288502	ENSP00000288502	342	Q5VZI3	TMEM268
ENST00000288532	ENSP00000288532	327	Q5HYK3	COQ5
ENST00000288602	ENSP00000288602	766	P15056	BRAF
ENST00000288666	ENSP00000288666	263	Q8TD47	RPS4Y2
ENST00000288699	ENSP00000288699	564	Q9BPU6	DPYSL5
ENST00000288710	ENSP00000288710	740	Q96MC2	DRC1
ENST00000288757	ENSP00000288757	262	Q96C57	C12orf43
ENST00000288828	ENSP00000288828	454	Q9Y4P8	WIPI2
ENST00000288840	ENSP00000288840	496	O43541	SMAD6
ENST00000288861	ENSP00000288861	185	A0PJX0	CIB4
ENST00000288873	ENSP00000288873	240	Q53RY4	KRTCAP3
ENST00000288912	ENSP00000288912	1149	Q8TBY9	WDR66
ENST00000288937	ENSP00000288937	175	Q9NRX2	MRPL17
ENST00000288943	ENSP00000288943	314	Q05923	DUSP2
ENST00000288986	ENSP00000288986	377	P16333	NCK1
ENST00000289013	ENSP00000289013	670	Q8TCX5	RHPN1
ENST00000289081	ENSP00000289081	558	Q00597	FANCC
ENST00000289104	ENSP00000289104	208	O14807	MRAS
ENST00000289119	ENSP00000289119	409	Q8WU67	ABHD3
ENST00000289153	ENSP00000289153	1070	P42338	PIK3CB
ENST00000289166	ENSP00000289166	425	Q96A09	TENT5B
ENST00000289228	ENSP00000289228	376	P42025	ACTR1B
ENST00000289248	ENSP00000289248	303	Q9NX52	RHBDL2
ENST00000289269	ENSP00000289269	1007	Q9Y5I4	PCDHAC2
ENST00000289272	ENSP00000289272	950	Q9Y5I0	PCDHA13
ENST00000289292	ENSP00000289292	1493	Q9ULL8	SHROOM4
ENST00000289316	ENSP00000289316	126	P58876	HIST1H2BD
ENST00000289352	ENSP00000289352	103	P62805	HIST1H4A
ENST00000289359	ENSP00000289359	249	Q8WV92	MITD1
ENST00000289361	ENSP00000289361	513	O00481	BTN3A1
ENST00000289371	ENSP00000289371	1220	O60841	EIF5B
ENST00000289382	ENSP00000289382	510	Q9UKZ1	CNOT11
ENST00000289388	ENSP00000289388	387	Q7Z7H3	CATIP
ENST00000289407	ENSP00000289407	283	Q86UF1	TSPAN33
ENST00000289416	ENSP00000289416	586	Q53FZ2	ACSM3
ENST00000289429	ENSP00000289429	327	P06126	CD1A
ENST00000289431	ENSP00000289431	520	Q9UM82	SPATA2
ENST00000289451	ENSP00000289451	313	Q8NGX5	OR10K1
ENST00000289528	ENSP00000289528	257	Q8WV99	ZFAND2B
ENST00000289547	ENSP00000289547	1359	Q9UHC9	NPC1L1
ENST00000289575	ENSP00000289575	709	O94956	SLCO2B1
ENST00000289619	ENSP00000289619	130	Q96GU1	PAGE5
ENST00000289672	ENSP00000289672	2849	Q8TDX9	PKD1L1
ENST00000289707	ENSP00000289707	285	Q9P0V8	SLAMF8
ENST00000289746	ENSP00000289746	814	P55291	CDH15
ENST00000289753	ENSP00000289753	440	P50406	HTR6
ENST00000289788	ENSP00000289788	389	Q3MJ62	ZSCAN23
ENST00000289805	ENSP00000289805	424	Q8IUW3	SPATA2L
ENST00000289820	ENSP00000289820	214	Q86SE8	NPM2
ENST00000289865	ENSP00000289865	565	Q9UK80	USP21
ENST00000289902	ENSP00000289902	86	P30273	FCER1G
ENST00000289921	ENSP00000289921	743	Q86V87	FAM160B2
ENST00000289952	ENSP00000289952	492	Q15043	SLC39A14
ENST00000289953	ENSP00000289953	241	Q8IUA0	WFDC8
ENST00000289957	ENSP00000289957	458	Q05901	CHRNB3
ENST00000289968	ENSP00000289968	881	Q68EM7	ARHGAP17
ENST00000289989	ENSP00000289989	365	Q8NAV2	C8orf58
ENST00000290015	ENSP00000290015	357	O14905	WNT9B
ENST00000290079	ENSP00000290079	108	Q96I45	TMEM141
ENST00000290122	ENSP00000290122	270	P09093	CELA3A
ENST00000290130	ENSP00000290130	233	Q9NYP9	MIS18A
ENST00000290155	ENSP00000290155	290	P57076	CFAP298
ENST00000290158	ENSP00000290158	876	Q14974	KPNB1
ENST00000290167	ENSP00000290167	351	P56705	WNT4
ENST00000290200	ENSP00000290200	325	Q08334	IL10RB
ENST00000290216	ENSP00000290216	425	Q96FV2	SCRN2
ENST00000290219	ENSP00000290219	337	P38484	IFNGR2
ENST00000290231	ENSP00000290231	579	Q9HCD5	NCOA5
ENST00000290246	ENSP00000290246	720	Q96JJ3	ELMO2
ENST00000290271	ENSP00000290271	247	P52823	STC1
ENST00000290291	ENSP00000290291	677	Q9NZT2	OGFR
ENST00000290294	ENSP00000290294	57	Q96KF2	PRAC1
ENST00000290295	ENSP00000290295	284	Q92826	HOXB13
ENST00000290299	ENSP00000290299	213	P48047	ATP5PO
ENST00000290310	ENSP00000290310	123	Q9Y6J6	KCNE2
ENST00000290341	ENSP00000290341	577	Q9NZI8	IGF2BP1
ENST00000290349	ENSP00000290349	277	P16152	CBR1
ENST00000290354	ENSP00000290354	277	O75828	CBR3
ENST00000290363	ENSP00000290363	385	Q8N365	CIART
ENST00000290374	ENSP00000290374	321	Q9UKL4	GJD2
ENST00000290378	ENSP00000290378	377	P68032	ACTC1
ENST00000290399	ENSP00000290399	667	Q14190	SIM2
ENST00000290429	ENSP00000290429	390	Q8IVS2	MCAT
ENST00000290438	ENSP00000290438	693	Q9NYA3	GOLGA6A
ENST00000290472	ENSP00000290472	818	Q86XP0	PLA2G4D
ENST00000290524	ENSP00000290524	616	P48382	RFX5
ENST00000290536	ENSP00000290536	530	Q8TC57	M1AP
ENST00000290541	ENSP00000290541	264	P28070	PSMB4
ENST00000290551	ENSP00000290551	158	P78543	BTG2
ENST00000290552	ENSP00000290552	446	P78412	IRX6
ENST00000290567	ENSP00000290567	575	Q6NT32	CES5A
ENST00000290573	ENSP00000290573	917	P52789	HK2
ENST00000290583	ENSP00000290583	465	Q5SZQ8	CELF3
ENST00000290597	ENSP00000290597	563	P30038	ALDH4A1
ENST00000290607	ENSP00000290607	4700	Q9P2P6	STARD9
ENST00000290649	ENSP00000290649	643	Q9UKV5	AMFR
ENST00000290650	ENSP00000290650	1749	Q8IWV7	UBR1
ENST00000290691	ENSP00000290691	473	Q8IZJ4	RGL4
ENST00000290705	ENSP00000290705	61	P04731	MT1A
ENST00000290722	ENSP00000290722	341	Q96LB9	PGLYRP3
ENST00000290759	ENSP00000290759	359	Q96A47	ISL2
ENST00000290765	ENSP00000290765	244	P0CG30	GSTT2B
ENST00000290776	ENSP00000290776	548	Q96FN4	CPNE2
ENST00000290795	ENSP00000290795	474	Q9HC44	GPBP1L1
ENST00000290810	ENSP00000290810	534	Q13564	NAE1
ENST00000290846	ENSP00000290846	421	O75648	TRMU
ENST00000290855	ENSP00000290855	191	Q9UHP7	CLEC2D
ENST00000290858	ENSP00000290858	182	Q13951	CBFB
ENST00000290866	ENSP00000290866	1306	P12821	ACE
ENST00000290868	ENSP00000290868	676	Q96N76	UROC1
ENST00000290881	ENSP00000290881	471	Q68EN5	KIAA0895L
ENST00000290894	ENSP00000290894	423	Q7M4L6	SHF
ENST00000290913	ENSP00000290913	235	Q9BRQ6	CHCHD6
ENST00000290921	ENSP00000290921	440	Q13363	CTBP1
ENST00000290942	ENSP00000290942	176	Q9BW30	TPPP3
ENST00000290943	ENSP00000290943	1011	A2A2Z9	ANKRD18B
ENST00000290949	ENSP00000290949	351	P61421	ATP6V0D1
ENST00000290953	ENSP00000290953	132	O00253	AGRP
ENST00000290974	ENSP00000290974	887	Q9HCC9	ZFYVE28
ENST00000291009	ENSP00000291009	146	P12273	PIP
ENST00000291041	ENSP00000291041	424	P11801	PSKH1
ENST00000291182	ENSP00000291182	738	Q14590	ZNF235
ENST00000291231	ENSP00000291231	321	P47888	OR3A3
ENST00000291232	ENSP00000291232	184	Q96RJ3	TNFRSF13C
ENST00000291270	ENSP00000291270	629	Q09013	DMPK
ENST00000291294	ENSP00000291294	386	P43119	PTGIR
ENST00000291358	ENSP00000291358	466	Q4KMZ1	IQCC
ENST00000291386	ENSP00000291386	194	Q9NP77	SSU72
ENST00000291416	ENSP00000291416	475	Q9BVG3	TRIM62
ENST00000291439	ENSP00000291439	423	Q9BXS5	AP1M1
ENST00000291442	ENSP00000291442	404	P10588	NR2F6
ENST00000291458	ENSP00000291458	144	Q4VC31	CCDC58
ENST00000291481	ENSP00000291481	402	Q86UW8	HAPLN4
ENST00000291495	ENSP00000291495	1156	Q8IUL8	CILP2
ENST00000291526	ENSP00000291526	129	Q03403	TFF2
ENST00000291527	ENSP00000291527	84	P04155	TFF1
ENST00000291532	ENSP00000291532	454	P57727	TMPRSS3
ENST00000291536	ENSP00000291536	309	Q8WYR4	RSPH1
ENST00000291539	ENSP00000291539	593	O76083	PDE9A
ENST00000291547	ENSP00000291547	436	P55347	PKNOX1
ENST00000291560	ENSP00000291560	334	O75031	HSF2BP
ENST00000291565	ENSP00000291565	312	O00764	PDXK
ENST00000291568	ENSP00000291568	98	P04080	CSTB
ENST00000291572	ENSP00000291572	376	Q9NRZ7	AGPAT3
ENST00000291574	ENSP00000291574	1259	P48553	TRAPPC10
ENST00000291576	ENSP00000291576	919	Q15269	PWP2
ENST00000291577	ENSP00000291577	268	P0DPI2	GATD3A
ENST00000291582	ENSP00000291582	545	O43918	AIRE
ENST00000291592	ENSP00000291592	257	Q9BY71	LRRC3
ENST00000291598	ENSP00000291598	569	Q96ND8	ZNF583
ENST00000291634	ENSP00000291634	230	Q9NSI2	FAM207A
ENST00000291670	ENSP00000291670	541	O95954	FTCD
ENST00000291672	ENSP00000291672	340	Q9H0A9	SPATC1L
ENST00000291688	ENSP00000291688	1980	O60318	MCM3AP
ENST00000291691	ENSP00000291691	322	P58505	C21orf58
ENST00000291700	ENSP00000291700	92	P04271	S100B
ENST00000291707	ENSP00000291707	595	Q96PQ1	SIGLEC12
ENST00000291715	ENSP00000291715	167	Q8NHS1	CLDND2
ENST00000291726	ENSP00000291726	260	O60259	KLK8
ENST00000291744	ENSP00000291744	313	Q15485	FCN2
ENST00000291759	ENSP00000291759	499	P59901	LILRA4
ENST00000291823	ENSP00000291823	616	Q8NE63	HIPK4
ENST00000291839	ENSP00000291839	333	Q969X2	ST6GALNAC6
ENST00000291842	ENSP00000291842	707	Q8TBC3	SHKBP1
ENST00000291860	ENSP00000291860	410	Q8N743	KIR3DL3
ENST00000291890	ENSP00000291890	304	O76036	NCR1
ENST00000291900	ENSP00000291900	766	Q7Z7L7	ZER1
ENST00000291906	ENSP00000291906	889	Q6P5Z2	PKN3
ENST00000291934	ENSP00000291934	177	Q8WZ59	TMEM190
ENST00000291971	ENSP00000291971	1048	Q86W28	NLRP8
ENST00000292035	ENSP00000292035	311	Q6P2C8	MED27
ENST00000292069	ENSP00000292069	610	Q5HYK9	ZNF667
ENST00000292079	ENSP00000292079	66	P54710	FXYD2
ENST00000292090	ENSP00000292090	247	Q96CP7	TLCD1
ENST00000292114	ENSP00000292114	208	Q8N511	TMEM199
ENST00000292123	ENSP00000292123	915	Q15424	SAFB
ENST00000292125	ENSP00000292125	435	Q00889	PSG6
ENST00000292140	ENSP00000292140	640	Q6NSJ2	PHLDB3
ENST00000292147	ENSP00000292147	254	O95571	ETHE1
ENST00000292169	ENSP00000292169	94	P23297	S100A1
ENST00000292174	ENSP00000292174	372	P32302	CXCR5
ENST00000292176	ENSP00000292176	539	O15156	ZBTB7B
ENST00000292180	ENSP00000292180	587	Q8NFF5	FLAD1
ENST00000292199	ENSP00000292199	975	Q86UT6	NLRX1
ENST00000292211	ENSP00000292211	422	Q7Z7E8	UBE2Q1
ENST00000292246	ENSP00000292246	660	Q9NW15	ANO10
ENST00000292291	ENSP00000292291	344	Q6TCH4	PAQR6
ENST00000292301	ENSP00000292301	374	P41597	CCR2
ENST00000292303	ENSP00000292303	352	P51681	CCR5
ENST00000292327	ENSP00000292327	195	P08590	MYL3
ENST00000292330	ENSP00000292330	253	Q8TAP8	PPP1R35
ENST00000292357	ENSP00000292357	1037	Q5VY43	PEAR1
ENST00000292363	ENSP00000292363	311	Q9BV68	RNF126
ENST00000292377	ENSP00000292377	579	Q8N158	GPC2
ENST00000292401	ENSP00000292401	298	P25311	AZGP1
ENST00000292408	ENSP00000292408	802	P22455	FGFR4
ENST00000292427	ENSP00000292427	503	P15538	CYP11B1
ENST00000292430	ENSP00000292430	165	Q17RY6	LY6K
ENST00000292431	ENSP00000292431	527	Q96RE7	NACC1
ENST00000292432	ENSP00000292432	923	P52790	HK3
ENST00000292433	ENSP00000292433	223	Q9BTL4	IER2
ENST00000292450	ENSP00000292450	473	Q9Y5A6	ZSCAN21
ENST00000292475	ENSP00000292475	94	P56134	ATP5MF
ENST00000292476	ENSP00000292476	269	O95639	CPSF4
ENST00000292478	ENSP00000292478	700	O75127	PTCD1
ENST00000292494	ENSP00000292494	131	Q16553	LY6E
ENST00000292510	ENSP00000292510	221	Q9UK41	VPS28
ENST00000292513	ENSP00000292513	402	P34995	PTGER1
ENST00000292524	ENSP00000292524	493	Q15048	LRRC14
ENST00000292530	ENSP00000292530	665	Q96JL9	ZNF333
ENST00000304494	ENSP00000307101	156	P42771	CDKN2A
ENST00000292539	ENSP00000292539	528	Q96I34	PPP1R16A
ENST00000292562	ENSP00000292562	671	Q9BRH9	ZNF251
ENST00000292566	ENSP00000292566	302	Q9NXW9	ALKBH4
ENST00000292574	ENSP00000292574	499	Q8IYK2	CCDC105
ENST00000292577	ENSP00000292577	310	Q96GS6	ABHD17A
ENST00000292579	ENSP00000292579	560	P15622	ZNF250
ENST00000292586	ENSP00000292586	343	Q6NTE8	MRNIP
ENST00000292591	ENSP00000292591	548	Q9UQ53	MGAT4B
ENST00000292599	ENSP00000292599	1016	Q92585	MAML1
ENST00000292614	ENSP00000292614	117	P52435	POLR2J
ENST00000292616	ENSP00000292616	647	Q9UFC0	LRWD1
ENST00000292641	ENSP00000292641	104	Q96QR1	SCGB3A1
ENST00000292644	ENSP00000292644	433	P35998	PSMC2
ENST00000292672	ENSP00000292672	485	Q8N6W0	CELF5
ENST00000292778	ENSP00000292778	323	A8MPS7	YDJC
ENST00000292779	ENSP00000292779	613	Q8IYX3	CCDC116
ENST00000292782	ENSP00000292782	259	Q96GG9	DCUN1D1
ENST00000292807	ENSP00000292807	435	Q96CW1	AP2M1
ENST00000292823	ENSP00000292823	367	P49585	PCYT1A
ENST00000292852	ENSP00000292852	278	Q96EF6	FBXO17
ENST00000292853	ENSP00000292853	283	Q8NI29	FBXO27
ENST00000292894	ENSP00000292894	274	Q8NA92	THAP8
ENST00000292896	ENSP00000292896	147	P02100	HBE1
ENST00000292907	ENSP00000292907	79	P24310	COX7A1
ENST00000292928	ENSP00000292928	550	Q96SR6	ZNF382
ENST00000293190	ENSP00000293190	1233	Q14957	GRIN2C
ENST00000293195	ENSP00000293195	491	P22570	FDXR
ENST00000293230	ENSP00000293230	190	Q8WWM9	CYGB
ENST00000293255	ENSP00000293255	173	Q9NP86	CABP5
ENST00000293261	ENSP00000293261	459	Q96AN5	TMEM143
ENST00000293272	ENSP00000293272	91	P13501	CCL5
ENST00000293273	ENSP00000293273	284	Q8NG50	RDM1
ENST00000293274	ENSP00000293274	148	O75951	LYZL6
ENST00000293275	ENSP00000293275	120	O15467	CCL16
ENST00000293303	ENSP00000293303	608	Q6JEL2	KLHL10
ENST00000293308	ENSP00000293308	483	P05787	KRT8
ENST00000293328	ENSP00000293328	787	P51692	STAT5B
ENST00000293330	ENSP00000293330	131	O43612	HCRT
ENST00000293350	ENSP00000293350	802	Q8IZ83	ALDH16A1
ENST00000293371	ENSP00000293371	110	P81605	DCD
ENST00000293373	ENSP00000293373	1127	P55160	NCKAP1L
ENST00000293379	ENSP00000293379	1049	P08648	ITGA5
ENST00000293404	ENSP00000293404	534	Q8N159	NAGS
ENST00000293405	ENSP00000293405	221	Q6UXV1	IZUMO2
ENST00000293406	ENSP00000293406	195	Q3MHD2	LSM12
ENST00000293414	ENSP00000293414	453	Q96NS5	ASB16
ENST00000293441	ENSP00000293441	2161	Q9Y566	SHANK1
ENST00000293443	ENSP00000293443	826	A8MVW0	FAM171A2
ENST00000293471	ENSP00000293471	617	Q6PF04	ZNF613
ENST00000293502	ENSP00000293502	313	Q8NEX9	SDR9C7
ENST00000293525	ENSP00000293525	486	O43790	KRT86
ENST00000293549	ENSP00000293549	370	P04628	WNT1
ENST00000293590	ENSP00000293590	1028	Q8IVF7	FMNL3
ENST00000293599	ENSP00000293599	265	P55064	AQP5
ENST00000293636	ENSP00000293636	258	Q9UNI1	CELA1
ENST00000293662	ENSP00000293662	395	Q7Z6J2	GRASP
ENST00000293670	ENSP00000293670	493	P78385	KRT83
ENST00000293695	ENSP00000293695	218	Q6PIF2	SYCE2
ENST00000293709	ENSP00000293709	703	Q99941	ATF6B
ENST00000293725	ENSP00000293725	476	Q8TA94	ZNF563
ENST00000293745	ENSP00000293745	511	Q14CN4	KRT72
ENST00000293756	ENSP00000293756	410	Q96PC2	IP6K3
ENST00000293760	ENSP00000293760	503	Q8NC56	LEMD2
ENST00000293761	ENSP00000293761	662	P16050	ALOX15
ENST00000293771	ENSP00000293771	615	Q96CK0	ZNF653
ENST00000293777	ENSP00000293777	117	Q9P086	MED11
ENST00000293780	ENSP00000293780	493	Q04844	CHRNE
ENST00000293805	ENSP00000293805	479	Q8N143	BCL6B
ENST00000293825	ENSP00000293825	249	O43508	TNFSF12
ENST00000293829	ENSP00000293829	225	Q92914	FGF11
ENST00000293831	ENSP00000293831	406	P60842	EIF4A1
ENST00000293842	ENSP00000293842	145	P61254	RPL26
ENST00000293845	ENSP00000293845	316	Q96M95	CCDC42
ENST00000293851	ENSP00000293851	280	Q8NF86	PRSS33
ENST00000293860	ENSP00000293860	108	Q9Y2Y1	POLR3K
ENST00000293872	ENSP00000293872	371	Q9NQ29	LUC7L
ENST00000293879	ENSP00000293879	1748	Q96KV7	WDR90
ENST00000293883	ENSP00000293883	790	Q96S15	WDR24
ENST00000293889	ENSP00000293889	438	A2IDD5	CCDC78
ENST00000293894	ENSP00000293894	446	P57073	SOX8
ENST00000293897	ENSP00000293897	364	P35346	SSTR5
ENST00000293925	ENSP00000293925	1269	Q96RY5	CRAMP1
ENST00000293937	ENSP00000293937	342	Q96QI5	HS3ST6
ENST00000293970	ENSP00000293970	559	Q9ULP9	TBC1D24
ENST00000293971	ENSP00000293971	409	Q9Y303	AMDHD2
ENST00000293973	ENSP00000293973	580	O00634	NTN3
ENST00000293981	ENSP00000293981	140	Q96CP2	FLYWCH2
ENST00000294008	ENSP00000294008	1834	Q8IY92	SLX4
ENST00000294016	ENSP00000294016	1353	O60503	ADCY9
ENST00000294053	ENSP00000294053	707	Q9H078	CLPB
ENST00000294066	ENSP00000294066	820	Q12851	MAP4K2
ENST00000294072	ENSP00000294072	242	Q8NBI2	CYB561A3
ENST00000294117	ENSP00000294117	75	P63215	GNG3
ENST00000294129	ENSP00000294129	722	Q9NZQ3	NCKIPSD
ENST00000294168	ENSP00000294168	622	Q9Y6J9	TAF6L
ENST00000294172	ENSP00000294172	619	Q9UBU9	NXF1
ENST00000294179	ENSP00000294179	355	Q13190	STX5
ENST00000294189	ENSP00000294189	159	P47914	RPL29
ENST00000294244	ENSP00000294244	381	Q9BUA3	SPINDOC
ENST00000294258	ENSP00000294258	310	O95159	ZFPL1
ENST00000294288	ENSP00000294288	220	Q9NPB3	CABP2
ENST00000294304	ENSP00000294304	1615	O75197	LRP5
ENST00000294309	ENSP00000294309	752	Q8NHX9	TPCN2
ENST00000294312	ENSP00000294312	216	O95750	FGF19
ENST00000294338	ENSP00000294338	114	Q13113	PDZK1IP1
ENST00000294339	ENSP00000294339	331	P17542	TAL1
ENST00000294353	ENSP00000294353	744	Q9C0D3	ZYG11B
ENST00000294360	ENSP00000294360	160	Q9NWV4	CZIB
ENST00000294383	ENSP00000294383	2620	Q9UPU5	USP24
ENST00000294409	ENSP00000294409	573	Q9Y692	GMEB1
ENST00000294428	ENSP00000294428	691	Q9HCJ3	RAVER2
ENST00000294435	ENSP00000294435	134	Q96R05	RBP7
ENST00000294454	ENSP00000294454	304	Q6PIV7	SLC25A34
ENST00000294484	ENSP00000294484	1392	Q9P2K9	DISP3
ENST00000294485	ENSP00000294485	349	Q8NBI3	DRAXIN
ENST00000294507	ENSP00000294507	262	Q13571	LAPTM5
ENST00000294517	ENSP00000294517	460	Q96A70	AZIN2
ENST00000294543	ENSP00000294543	634	Q5TGY1	TMCO4
ENST00000294600	ENSP00000294600	656	Q2M243	CCDC27
ENST00000294613	ENSP00000294613	207	Q9BX74	TM2D1
ENST00000294618	ENSP00000294618	2047	Q96HP0	DOCK6
ENST00000294638	ENSP00000294638	356	Q68G74	LHX8
ENST00000294664	ENSP00000294664	891	Q8IWG1	WDR63
ENST00000294671	ENSP00000294671	638	Q8N8V2	GBP7
ENST00000294702	ENSP00000294702	422	Q99684	GFI1
ENST00000294724	ENSP00000294724	1532	P35573	AGL
ENST00000294725	ENSP00000294725	1135	Q6UVM3	KCNT2
ENST00000294728	ENSP00000294728	739	P19320	VCAM1
ENST00000294740	ENSP00000294740	895	Q9Y2X9	ZNF281
ENST00000294753	ENSP00000294753	587	Q96IT1	ZNF496
ENST00000294785	ENSP00000294785	709	Q92542	NCSTN
ENST00000294794	ENSP00000294794	750	Q68BL8	OLFML2B
ENST00000294811	ENSP00000294811	269	Q96LT6	C1orf74
ENST00000294816	ENSP00000294816	382	Q8TE12	LMX1A
ENST00000294818	ENSP00000294818	313	Q8N7C0	LRRC52
ENST00000294829	ENSP00000294829	594	Q8IYT1	FAM71A
ENST00000294848	ENSP00000294848	981	Q8NAT2	TDRD5
ENST00000294854	ENSP00000457748	1076	A5PLK6	RGSL1
ENST00000294889	ENSP00000294889	142	Q9H7X2	C1orf115
ENST00000294952	ENSP00000294952	780	Q6ZMI0	PPP1R21
ENST00000294954	ENSP00000294954	699	P22888	LHCGR
