Entry	Gene names	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Date of last modification	Version (entry)
P82930	MRPS34	218			MRPS34		8/12/20	146
Q9NSA0	SLC22A11 OAT4	550			SLC22A11	OAT4	8/12/20	149
Q9UHB9	SRP68	627			SRP68		8/12/20	174
Q13596	SNX1	522			SNX1		8/12/20	192
Q8WXH5	SOCS4 SOCS7	440			SOCS4	SOCS7	8/12/20	154
Q86W54	SPATA24	205			SPATA24		8/12/20	115
P08294	SOD3	240			SOD3		8/12/20	208
Q7RTU9	STRC	1775			STRC		8/12/20	132
P22531	SPRR2E	72			SPRR2E		8/12/20	136
Q8TCT6	SPPL3 IMP2 PSL4	384			SPPL3	IMP2 PSL4	8/12/20	156
Q9C004	SPRY4	299			SPRY4		8/12/20	159
P35321	SPRR1A	89			SPRR1A		8/12/20	159
Q6NVH7	SWSAP1 C19orf39	229			SWSAP1	C19orf39	8/12/20	114
P52823	STC1 STC	247			STC1	STC	8/12/20	150
Q7RTT5	SSX7	188			SSX7		8/12/20	130
Q9NZ72	STMN3 SCLIP	180			STMN3	SCLIP	8/12/20	164
Q08945	SSRP1 FACT80	709			SSRP1	FACT80	8/12/20	211
Q9UIF3	TEKT2	430			TEKT2		8/12/20	145
Q8IUE0	TGIF2LY TGIFLY	185			TGIF2LY	TGIFLY	8/12/20	145
Q9BUF5	TUBB6	446			TUBB6		8/12/20	176
Q96A56	TP53INP1 P53DINP1 SIP	240			TP53INP1	P53DINP1 SIP	8/12/20	132
Q8NDG6	TDRD9 C14orf75	1382			TDRD9	C14orf75	8/12/20	150
Q9BQE3	TUBA1C TUBA6	449			TUBA1C	TUBA6	8/12/20	190
Q9ULZ0	TP53TG3 TP53TG3A; TP53TG3B; TP53TG3C; TP53TG3D; TP53TG3E; TP53TG3F	124	; ; ; ; ; 	; ; ; ; ; 	TP53TG3; TP53TG3B; TP53TG3C; TP53TG3D; TP53TG3E; TP53TG3F	TP53TG3A; ; ; ; ; 	8/12/20	126
Q8IYJ3	SYTL1 SLP1 SB146	562		SB146	SYTL1	SLP1	8/12/20	164
Q9NYW2	TAS2R8	309			TAS2R8		8/12/20	150
Q16650	TBR1	682			TBR1		8/12/20	166
Q6IEE7	TMEM132E	1074			TMEM132E		8/12/20	104
Q96CP7	TLCD1	247			TLCD1		8/12/20	121
Q8IUR5	TMTC1 ARG99	882		ARG99	TMTC1		8/12/20	146
Q8N0U2	TMEM61	210			TMEM61		8/12/20	111
Q96DC7	TMCO6 PRO1580	493		PRO1580	TMCO6		8/12/20	147
Q96GM8	TOE1	510			TOE1		8/12/20	154
P48307	TFPI2	235			TFPI2		8/12/20	184
Q6ZUK4	TMEM26	368			TMEM26		8/12/20	113
P32971	TNFSF8 CD30L CD30LG	234			TNFSF8	CD30L CD30LG	8/12/20	148
Q9H6F2	TMEM38A	299			TMEM38A		8/12/20	125
Q8NBN3	TMEM87A PSEC0094	555		PSEC0094	TMEM87A		8/12/20	131
Q5SV17	TMEM240 C1orf70	173			TMEM240	C1orf70	8/12/20	97
Q9ULQ1	TPCN1 KIAA1169 TPC1	816			TPCN1	KIAA1169 TPC1	8/12/20	154
Q9BU70	TRMO C9orf156 HSPC219	441		HSPC219	TRMO	C9orf156	8/12/20	127
Q9C029	TRIM7 GNIP RNF90	511			TRIM7	GNIP RNF90	8/12/20	168
P0CF51	TRGC1 TCRGC1	173			TRGC1	TCRGC1	8/12/20	57
Q14258	TRIM25 EFP RNF147 ZNF147	630			TRIM25	EFP RNF147 ZNF147	8/12/20	208
Q9ULW0	TPX2 C20orf1 C20orf2 DIL2 HCA519	747			TPX2	C20orf1 C20orf2 DIL2 HCA519	8/12/20	191
P01850	TRBC1	176			TRBC1		8/12/20	159
Q15650	TRIP4	581			TRIP4		8/12/20	176
Q5GJ75	TNFAIP8L3 TIPE3	292			TNFAIP8L3	TIPE3	8/12/20	105
A0A0B4J280	TRAV40	105			TRAV40		8/12/20	29
A0A0J9YWL9	TEX13C	993			TEX13C		8/12/20	31
A0A0B4J235	TRAV13-2	113			TRAV13-2		8/12/20	31
A0A0B4J2E0	TRBV12-4	115			TRBV12-4		8/12/20	41
Q8N584	TTC39C C18orf17	583			TTC39C	C18orf17	8/12/20	134
A0A599	TRBV5-6 TCRBV5S2	114			TRBV5-6	TCRBV5S2	8/12/20	82
P0CV98	TSPY3	308			TSPY3		8/12/20	71
Q99614	TTC1 TPR1	292			TTC1	TPR1	8/12/20	172
Q96PN8	TSSK3 SPOGA3 STK22C	268			TSSK3	SPOGA3 STK22C	8/12/20	161
P62328	TMSB4X TB4X THYB4 TMSB4	44			TMSB4X	TB4X THYB4 TMSB4	8/12/20	160
Q5TAA0	TTC22	569			TTC22		8/12/20	123
Q9BSL1	UBAC1 GBDR1 KPC2 UBADC1	405			UBAC1	GBDR1 KPC2 UBADC1	8/12/20	165
Q9BZJ3	TPSD1	242			TPSD1		8/12/20	155
A6PVC2	TTLL8	850			TTLL8		8/12/20	100
P0C7H9	USP17L7	530			USP17L7		8/12/20	95
Q8N841	TTLL6 TTL.6	843			TTLL6	TTL.6	8/12/20	131
Q9NQE7	PRSS16 TSSP	514			PRSS16	TSSP	8/12/20	137
Q15819	UBE2V2 MMS2 UEV2	145			UBE2V2	MMS2 UEV2	8/12/20	185
Q16222	UAP1 SPAG2	522			UAP1	SPAG2	8/12/20	191
Q86WB7	UNC93A	457			UNC93A		8/12/20	119
P35504	UGT1A5 GNT1 UGT1	534			UGT1A5	GNT1 UGT1	8/12/20	171
Q9Y3A2	UTP11 UTP11L CGI-94 HDCMB12P	253		CGI-94 HDCMB12P	UTP11	UTP11L	8/12/20	153
Q6NUS8	UGT3A1	523			UGT3A1		8/12/20	134
Q8IZJ1	UNC5B P53RDL1 UNC5H2 UNQ1883/PRO4326	945		UNQ1883/PRO4326	UNC5B	P53RDL1 UNC5H2	8/12/20	166
O95258	SLC25A14 BMCP1 UCP5 UNQ791/PRO1682	325		UNQ791/PRO1682	SLC25A14	BMCP1 UCP5	8/12/20	174
Q9HAC8	UBTD1	227			UBTD1		8/12/20	148
P25874	UCP1 SLC25A7 UCP	307			UCP1	SLC25A7 UCP	8/12/20	173
Q86TI4	WDR86	376			WDR86		8/12/20	147
P61421	ATP6V0D1 ATP6D VPATPD	351			ATP6V0D1	ATP6D VPATPD	8/12/20	155
Q96DN2	VWCE URG11	955			VWCE	URG11	8/12/20	140
Q9H1Z4	WDR13	485			WDR13		8/12/20	154
Q92558	WASF1 KIAA0269 SCAR1 WAVE1	559			WASF1	KIAA0269 SCAR1 WAVE1	8/12/20	175
Q9H7D7	WDR26 CDW2 MIP2 PRO0852	661		PRO0852	WDR26	CDW2 MIP2	8/12/20	174
O75695	RP2	350			RP2		8/12/20	186
Q8TAF3	WDR48 KIAA1449 UAF1	677			WDR48	KIAA1449 UAF1	8/12/20	168
Q7Z5U6	WDR53	358			WDR53		8/12/20	140
Q8IUB5	WFDC13 C20orf138 WAP13	93			WFDC13	C20orf138 WAP13	8/12/20	123
P05388	RPLP0	317			RPLP0		8/12/20	224
Q9UHA3	RSL24D1 C15orf15 RPL24L My024	163		My024	RSL24D1	C15orf15 RPL24L	8/12/20	164
P49406	MRPL19 KIAA0104 MRPL15	292			MRPL19	KIAA0104 MRPL15	8/12/20	175
Q9NRX2	MRPL17 LIP2	175			MRPL17	LIP2	8/12/20	149
Q16540	MRPL23 L23MRP RPL23L	153			MRPL23	L23MRP RPL23L	8/12/20	163
O15160	POLR1C POLR1E	346			POLR1C	POLR1E	8/12/20	208
P24928	POLR2A POLR2	1970			POLR2A	POLR2	8/12/20	222
Q9NS64	RPRM	109			RPRM		8/12/20	130
O95059	RPP14	124			RPP14		8/12/20	158
Q96ER3	SAAL1	474			SAAL1		8/12/20	138
Q9NVC3	SLC38A7 SNAT7	462			SLC38A7	SNAT7	8/12/20	145
P0C7Q5	SLC35G4 AMAC1L1 SLC35G4P	338			SLC35G4	AMAC1L1 SLC35G4P	8/12/20	71
Q7RTT9	SLC29A4 ENT4 PMAT PSEC0113	530		PSEC0113	SLC29A4	ENT4 PMAT	8/12/20	135
Q8IY50	SLC35F3	421			SLC35F3		8/12/20	111
Q9Y6B6	SAR1B SARA2 SARB	198			SAR1B	SARA2 SARB	8/12/20	184
Q15043	SLC39A14 KIAA0062 ZIP14	492			SLC39A14	KIAA0062 ZIP14	8/12/20	152
P41440	SLC19A1 FLOT1 RFC1	591			SLC19A1	FLOT1 RFC1	8/12/20	174
Q9BSK2	SLC25A33	321			SLC25A33		8/12/20	157
Q9H2X9	SLC12A5 KCC2 KIAA1176	1139			SLC12A5	KCC2 KIAA1176	8/12/20	166
Q5VXD3	SAMD13 HSD-42 HSD42	122		HSD-42 HSD42	SAMD13		8/12/20	121
Q17RB0	RTL8B CXX1C FAM127C MAR8B	113			RTL8B	CXX1C FAM127C MAR8B	8/12/20	98
Q08AI6	SLC38A11 AVT2	406			SLC38A11	AVT2	8/12/20	93
A6ZKI3	RTL8C CXX1 FAM127A MAR8 MAR8C MART8	113			RTL8C	CXX1 FAM127A MAR8 MAR8C MART8	8/12/20	91
Q8N695	SLC5A8 AIT SMCT SMCT1	610			SLC5A8	AIT SMCT SMCT1	8/12/20	131
Q6PIV7	SLC25A34	304			SLC25A34		8/12/20	127
Q2M3M2	SLC5A9 SGLT4	681			SLC5A9	SGLT4	8/12/20	126
O75396	SEC22B SEC22L1	215			SEC22B	SEC22L1	8/12/20	186
Q9NSN8	SNTG1	517			SNTG1		8/12/20	163
Q76KD6	SPATC1 SPATA15 SPRN	591			SPATC1	SPATA15 SPRN	8/12/20	114
Q9NS25	SPANXB1 SPANXB SPANXB2 SPANXF1	103			SPANXB1	SPANXB SPANXB2 SPANXF1	8/12/20	138
Q96T21	SECISBP2 SBP2	854			SECISBP2	SBP2	8/12/20	152
A6NHP3	SPDYE2B	402			SPDYE2B		8/12/20	89
A1X283	SH3PXD2B FAD49 KIAA1295 TKS4	911			SH3PXD2B	FAD49 KIAA1295 TKS4	8/12/20	113
P50453	SERPINB9 PI9	376			SERPINB9	PI9	8/12/20	185
Q8IUH8	SPPL2C IMP5	684			SPPL2C	IMP5	8/12/20	115
O00570	SOX1	391			SOX1		8/12/20	148
O00267	SUPT5H SPT5 SPT5H	1087			SUPT5H	SPT5 SPT5H	8/12/20	194
Q7Z5L4	SPATA19 SPERGEN1	167			SPATA19	SPERGEN1	8/12/20	103
Q7Z6B7	SRGAP1 ARHGAP13 KIAA1304	1085			SRGAP1	ARHGAP13 KIAA1304	8/12/20	161
Q96GM5	SMARCD1 BAF60A	515			SMARCD1	BAF60A	8/12/20	179
Q9NUC0	SERTAD4	356			SERTAD4		8/12/20	121
Q2VWA4	SKOR2 CORL2 FUSSEL18	1001			SKOR2	CORL2 FUSSEL18	8/12/20	121
O43623	SNAI2 SLUG SLUGH	268			SNAI2	SLUG SLUGH	8/12/20	200
Q8NHG7	SVIP	77			SVIP		8/12/20	111
O14662	STX16	325			STX16		8/12/20	194
Q96M34	TEX55 C3orf30 TSCPA	536			TEX55	C3orf30 TSCPA	8/12/20	106
Q9NQ55	PPAN BXDC3 SSF1	473			PPAN	BXDC3 SSF1	8/12/20	177
P29083	GTF2E1 TF2E1	439			GTF2E1	TF2E1	8/12/20	195
Q16143	SNCB	134			SNCB		8/12/20	179
Q5HYJ1	TECRL SRD5A2L2	363			TECRL	SRD5A2L2	8/12/20	101
Q9BQ87	TBL1Y TBL1	522			TBL1Y	TBL1	8/12/20	154
Q8WVE7	TMEM170A TMEM170	144			TMEM170A	TMEM170	8/12/20	116
Q9BXT5	TEX15	2789			TEX15		8/12/20	115
O75410	TACC1 KIAA1103	805			TACC1	KIAA1103	8/12/20	186
Q9Y5J6	TIMM10B FXC1 TIM9B TIMM9B	103			TIMM10B	FXC1 TIM9B TIMM9B	8/12/20	155
Q13395	TARBP1 TRM3 TRP185	1621			TARBP1	TRM3 TRP185	8/12/20	152
Q6NUS6	TCTN3 C10orf61 TECT3 PSEC0041 UNQ1881/PRO4324	607		PSEC0041 UNQ1881/PRO4324	TCTN3	C10orf61 TECT3	8/12/20	131
Q8IXB3	TRARG1 IFITMD3 LOST1 TUSC5	177			TRARG1	IFITMD3 LOST1 TUSC5	8/12/20	105
Q9P1P5	TAAR2 GPR58	351			TAAR2	GPR58	8/12/20	151
Q53T94	TAF1B	588			TAF1B		8/12/20	143
Q92734	TFG	400			TFG		8/12/20	183
Q9BSA9	TMEM175	504			TMEM175		8/12/20	123
Q8WVE6	TMEM171	324			TMEM171		8/12/20	118
Q9NYK1	TLR7 UNQ248/PRO285	1049		UNQ248/PRO285	TLR7		8/12/20	184
C9JI98	TMEM238	176			TMEM238		8/12/20	75
Q8N8V8	TMEM105	129			TMEM105		8/12/20	95
P0C1Z6	TFPT INO80F	253			TFPT	INO80F	8/12/20	126
A0A0J9YXA8	TRBJ1-1	15			TRBJ1-1		8/12/20	23
A6NLI5	TRIM64C	450			TRIM64C		8/12/20	100
Q92519	TRIB2 TRB2	343			TRIB2	TRB2	8/12/20	164
Q8WVT3	TRAPPC12 TRAMM TTC15 CGI-87	735		CGI-87	TRAPPC12	TRAMM TTC15	8/12/20	155
O95361	TRIM16 EBBP	564			TRIM16	EBBP	8/12/20	183
Q9UJV3	MID2 FXY2 RNF60 TRIM1	735			MID2	FXY2 RNF60 TRIM1	8/12/20	195
I1YAP6	TRIM77 TRIM77P	450			TRIM77	TRIM77P	8/12/20	55
A0A0B4J268	TRAV4	109			TRAV4		8/12/20	30
O75643	SNRNP200 ASCC3L1 HELIC2 KIAA0788	2136			SNRNP200	ASCC3L1 HELIC2 KIAA0788	8/12/20	213
Q5XG85		94					8/12/20	73
O95900	TRUB2	331			TRUB2		8/12/20	153
O60637	TSPAN3 TM4SF8	253			TSPAN3	TM4SF8	8/12/20	168
Q6IBS0	TWF2 PTK9L MSTP011	349		MSTP011	TWF2	PTK9L	8/12/20	149
Q13432	UNC119 RG4	240			UNC119	RG4	8/12/20	164
Q8NBM4	UBAC2 PHGDHL1 PSEC0110	344		PSEC0110	UBAC2	PHGDHL1	8/12/20	151
Q9NNW7	TXNRD2 KIAA1652 TRXR2	524			TXNRD2	KIAA1652 TRXR2	8/12/20	194
D6RBM5	USP17L23	183			USP17L23		8/12/20	65
P98066	TNFAIP6 TSG6	277			TNFAIP6	TSG6	8/12/20	181
Q9BTX7	TTPAL C20orf121	342			TTPAL	C20orf121	8/12/20	144
Q8WVY7	UBLCP1	318			UBLCP1		8/12/20	147
Q9HBA0	TRPV4 VRL2 VROAC	871			TRPV4	VRL2 VROAC	8/12/20	174
P22314	UBA1 A1S9T UBE1	1058			UBA1	A1S9T UBE1	8/12/20	226
P49459	UBE2A RAD6A	152			UBE2A	RAD6A	8/12/20	185
Q96LR5	UBE2E2 UBCH8	201			UBE2E2	UBCH8	8/12/20	169
Q96S82	UBL7 BMSCUBP SB132	380		SB132	UBL7	BMSCUBP	8/12/20	160
C9JPN9	USP17L12	530			USP17L12		8/12/20	78
Q9BRU9	UTP23 C8orf53	249			UTP23	C8orf53	8/12/20	137
O95185	UNC5C UNC5H3	931			UNC5C	UNC5H3	8/12/20	168
P54855	UGT2B15 UGT2B8	530			UGT2B15	UGT2B8	8/12/20	178
Q8TED0	UTP15	518			UTP15		8/12/20	162
Q13564	NAE1 APPBP1 HPP1	534		HPP1	NAE1	APPBP1	8/12/20	187
Q8TEY7	USP33 KIAA1097 VDU1	942			USP33	KIAA1097 VDU1	8/12/20	170
P68543	UBXN2A UBXD4	259			UBXN2A	UBXD4	8/12/20	129
P35125	USP6 HRP1 TRE2	1406			USP6	HRP1 TRE2	8/12/20	170
O75351	VPS4B SKD1 VPS42 MIG1	444		MIG1	VPS4B	SKD1 VPS42	8/12/20	190
Q969X6	UTP4 CIRH1A cPERP-E KIAA1988	686			UTP4	CIRH1A cPERP-E KIAA1988	8/12/20	176
Q6P2C0	WDR93	686			WDR93		8/12/20	129
Q6PCB0	VWA1	445			VWA1		8/12/20	147
Q9UIA9	XPO7 KIAA0745 RANBP16	1087			XPO7	KIAA0745 RANBP16	8/12/20	175
P04004	VTN	478			VTN		8/12/20	237
Q8N2E2	VWDE	1590			VWDE		8/12/20	124
Q8IZQ1	WDFY3 KIAA0993	3526			WDFY3	KIAA0993	8/12/20	165
Q9UBD3	XCL2 SCYC2	114			XCL2	SCYC2	8/12/20	159
Q5SRD0	WASHC2D FAM21D	308			WASHC2D	FAM21D	8/12/20	92
Q9H1B5	XYLT2 XT2 UNQ3058/PRO9878	865		UNQ3058/PRO9878	XYLT2	XT2	8/12/20	150
Q5JSH3	WDR44	913			WDR44		8/12/20	151
Q8IZH2	XRN1 SEP1	1706			XRN1	1-Sep	8/12/20	156
Q9P2L0	WDR35 IFT121 KIAA1336	1181			WDR35	IFT121 KIAA1336	8/12/20	170
P61964	WDR5 BIG3	334			WDR5	BIG3	8/12/20	185
Q9NYS7	WSB2	404			WSB2		8/12/20	166
Q9NW82	WDR70	654			WDR70		8/12/20	157
Q99942	RNF5 G16 NG2 RMA1	180			RNF5	G16 NG2 RMA1	8/12/20	186
O14802	POLR3A	1390			POLR3A		8/12/20	177
Q9NQ39	RPS10P5 RPS10L	176			RPS10P5	RPS10L	8/12/20	94
P10155	RO60 SSA2 TROVE2	538			RO60	SSA2 TROVE2	8/12/20	197
P51449	RORC NR1F3 RORG RZRG	518			RORC	NR1F3 RORG RZRG	8/12/20	196
O43159	RRP8 KIAA0409 NML hucep-1	456		hucep-1	RRP8	KIAA0409 NML	8/12/20	170
P55017	SLC12A3 NCC TSC	1021			SLC12A3	NCC TSC	8/12/20	193
A6NIM6	SLC15A5	579			SLC15A5		8/12/20	96
P21673	SAT1 SAT	171			SAT1	SAT	8/12/20	197
Q9BYN8	MRPS26 C20orf193 RPMS13	205			MRPS26	C20orf193 RPMS13	8/12/20	149
Q9Y694	SLC22A7 NLT OAT2	548			SLC22A7	NLT OAT2	8/12/20	167
Q8TF17	SH3TC2 KIAA1985 PP12494	1288		PP12494	SH3TC2	KIAA1985	8/12/20	163
Q8WXA3	RUFY2 KIAA1537 RABIP4R	606			RUFY2	KIAA1537 RABIP4R	8/12/20	140
Q01959	SLC6A3 DAT1	620			SLC6A3	DAT1	8/12/20	205
Q9Y3Z3	SAMHD1 MOP5	626			SAMHD1	MOP5	8/12/20	189
Q6S5L8	SHC4 SHCD UNQ6438/PRO21364	630		UNQ6438/PRO21364	SHC4	SHCD	8/12/20	140
A6NCI5	LINC00862 C1orf98 SMIM16	91			LINC00862	C1orf98 SMIM16	8/12/20	62
O14796	SH2D1B EAT2	132			SH2D1B	EAT2	8/12/20	162
Q14141	SEPTIN6 KIAA0128 SEP2 SEPT6	434			SEPTIN6	KIAA0128 SEP2 SEPT6	8/12/20	186
O95104	SCAF4 KIAA1172 SFRS15	1147			SCAF4	KIAA1172 SFRS15	8/12/20	174
O43147	SGSM2 KIAA0397 RUTBC1	1006			SGSM2	KIAA0397 RUTBC1	8/12/20	136
Q92185	ST8SIA1 SIAT8 SIAT8A	356			ST8SIA1	SIAT8 SIAT8A	8/12/20	169
O15041	SEMA3E KIAA0331 SEMAH	775			SEMA3E	KIAA0331 SEMAH	8/12/20	180
P23246	SFPQ PSF	707			SFPQ	PSF	8/12/20	226
Q9H2E6	SEMA6A KIAA1368 SEMAQ	1030			SEMA6A	KIAA1368 SEMAQ	8/12/20	163
Q8TD33	SCGB1C1	95			SCGB1C1		8/12/20	135
B4DS77	SHISA9	424			SHISA9		8/12/20	88
Q9Y675	SNURF	71			SNURF		8/12/20	120
Q9NS26	SPANXA1 SPANXA; SPANXA2	97	; 	; 	SPANXA1; SPANXA2	SPANXA; 	8/12/20	132
Q8IY81	FTSJ3 SB92	847		SB92	FTSJ3		8/12/20	168
Q8WVK7	SKA2 FAM33A	121			SKA2	FAM33A	8/12/20	147
Q8N5C6	SRBD1	995			SRBD1		8/12/20	143
O15020	SPTBN2 KIAA0302 SCA5	2390			SPTBN2	KIAA0302 SCA5	8/12/20	197
Q9H1K6	TLNRD1 MESDC1	362			TLNRD1	MESDC1	8/12/20	122
Q9NUR3	TMEM74B C20orf46	256			TMEM74B	C20orf46	8/12/20	119
Q9H2K2	TNKS2 PARP5B TANK2 TNKL	1166			TNKS2	PARP5B TANK2 TNKL	8/12/20	196
Q8NBT3	TMEM145	493			TMEM145		8/12/20	99
Q96RJ3	TNFRSF13C BAFFR BR3	184			TNFRSF13C	BAFFR BR3	8/12/20	156
P19438	TNFRSF1A TNFAR TNFR1	455			TNFRSF1A	TNFAR TNFR1	8/12/20	245
Q9H0I9	TKTL2	626			TKTL2		8/12/20	146
Q5T7P6	TMEM78	136			TMEM78		8/12/20	80
Q99805	TM9SF2	663			TM9SF2		8/12/20	148
Q16890	TPD52L1	204			TPD52L1		8/12/20	157
Q6PIZ9	TRAT1 TCRIM HSPC062	186		HSPC062	TRAT1	TCRIM	8/12/20	129
Q9NSU2	TREX1	314			TREX1		8/12/20	185
Q9BW30	TPPP3 CGI-38	176		CGI-38	TPPP3		8/12/20	144
A0A0B4J272	TRAV24	114			TRAV24		8/12/20	32
Q9Y6I9	TEX264 ZSIG11 UNQ337/PRO536	313		UNQ337/PRO536	TEX264	ZSIG11	8/12/20	156
O60636	TSPAN2	221			TSPAN2		8/12/20	159
P0CW00	TSPY8	308			TSPY8		8/12/20	69
Q9NZ09	UBAP1 NAG20	502		NAG20	UBAP1		8/12/20	169
Q5VTQ0	TTC39B C9orf52	682			TTC39B	C9orf52	8/12/20	133
Q5BVD1	TTMP C3orf52	217			TTMP	C3orf52	8/12/20	118
Q7Z7E8	UBE2Q1 NICE5 UBE2Q PRO3094	422		PRO3094	UBE2Q1	NICE5 UBE2Q	8/12/20	154
Q8TBC4	UBA3 UBE1C	463			UBA3	UBE1C	8/12/20	184
Q5DID0	UMODL1	1318			UMODL1		8/12/20	133
Q9NUQ7	UFSP2 C4orf20	469			UFSP2	C4orf20	8/12/20	131
P30530	AXL UFO	894			AXL	UFO	8/12/20	215
Q9BZM4	ULBP3 N2DL3 RAET1N	244			ULBP3	N2DL3 RAET1N	8/12/20	152
Q96C45	ULK4	1275			ULK4		8/12/20	153
P35503	UGT1A3 GNT1 UGT1	534			UGT1A3	GNT1 UGT1	8/12/20	175
Q6PHR2	ULK3	472			ULK3		8/12/20	154
Q9NWZ5	UCKL1 URKL1 F538	548		F538	UCKL1	URKL1	8/12/20	162
P55851	UCP2 SLC25A8	309			UCP2	SLC25A8	8/12/20	171
Q96K76	USP47	1375			USP47		8/12/20	167
Q96QK1	VPS35 MEM3 TCCCTA00141	796		TCCCTA00141	VPS35	MEM3	8/12/20	191
Q8IYU4	UBQLNL	475			UBQLNL		8/12/20	122
P63120	ERVK-19	156			ERVK-19		8/12/20	87
Q99990	VGLL1 TDU	258			VGLL1	TDU	8/12/20	144
P27449	ATP6V0C ATP6C ATP6L ATPL	155			ATP6V0C	ATP6C ATP6L ATPL	8/12/20	196
Q9UKW4	VAV3	847			VAV3		8/12/20	197
Q8N3P4	VPS8 KIAA0804	1428			VPS8	KIAA0804	8/12/20	154
Q7Z5H5	VN1R4 V1RL4	301			VN1R4	V1RL4	8/12/20	132
P32241	VIPR1	457			VIPR1		8/12/20	189
O95497	VNN1	513			VNN1		8/12/20	173
P54219	SLC18A1 VAT1 VMAT1	525			SLC18A1	VAT1 VMAT1	8/12/20	174
P63027	VAMP2 SYB2	116			VAMP2	SYB2	8/12/20	158
Q96FK6	WDR89 C14orf150 MSTP050	387		MSTP050	WDR89	C14orf150	8/12/20	146
A6NCI4	VWA3A	1184			VWA3A		8/12/20	97
Q96EX3	WDR34	536			WDR34		8/12/20	150
Q9GZS3	WDR61	305			WDR61		8/12/20	164
P56705	WNT4 UNQ426/PRO864	351		UNQ426/PRO864	WNT4		8/12/20	185
Q8NBI6	XXYLT1 C3orf21 PSEC0251	393		PSEC0251	XXYLT1	C3orf21	8/12/20	128
Q5T750	XP32 C1orf68	250			XP32	C1orf68	8/12/20	106
Q9H977	WDR54	334			WDR54		8/12/20	151
P58304	VSX2 CHX10 HOX10	361			VSX2	CHX10 HOX10	8/12/20	173
Q5MNZ9	WIPI1 WIPI49	446			WIPI1	WIPI49	8/12/20	152
Q9H4A3	WNK1 HSN2 KDP KIAA0344 PRKWNK1	2382			WNK1	HSN2 KDP KIAA0344 PRKWNK1	8/12/20	205
P04628	WNT1 INT1	370			WNT1	INT1	8/12/20	187
A8MWP6		167					8/12/20	50
O60688	YPEL1 FKSG3	119		FKSG3	YPEL1		8/12/20	131
Q9UJ98	STAG3	1225			STAG3		8/12/20	155
O75886	STAM2 HBP	525			STAM2	HBP	8/12/20	189
Q8TAQ9	SUN3 SUNC1	357			SUN3	SUNC1	8/12/20	141
M5A8F1	ERVH48-1 C21orf105 HERV-Fb1 NDUFV3-AS1	160			ERVH48-1	C21orf105 HERV-Fb1 NDUFV3-AS1	8/12/20	24
P16949	STMN1 C1orf215 LAP18 OP18	149			STMN1	C1orf215 LAP18 OP18	8/12/20	212
O14994	SYN3	580			SYN3		8/12/20	180
Q8N6K0	TEX29 C13orf16	151			TEX29	C13orf16	8/12/20	115
Q9H4B7	TUBB1	451			TUBB1		8/12/20	163
P54274	TERF1 PIN2 TRBF1 TRF TRF1	439			TERF1	PIN2 TRBF1 TRF TRF1	8/12/20	224
Q9BXI6	TBC1D10A EPI64 TBC1D10	508			TBC1D10A	EPI64 TBC1D10	8/12/20	159
Q86VY9	TMEM200A KIAA1913 HBE61	491		HBE61	TMEM200A	KIAA1913	8/12/20	121
Q5ST30	VARS2 KIAA1885 VARS2L VARSL	1063			VARS2	KIAA1885 VARS2L VARSL	8/12/20	154
O60907	TBL1X TBL1	577			TBL1X	TBL1	8/12/20	195
Q9UIK5	TMEFF2 HPP1 TENB2 TPEF UNQ178/PRO204	374		UNQ178/PRO204	TMEFF2	HPP1 TENB2 TPEF	8/12/20	162
O75333	TBX10 TBX7	385			TBX10	TBX7	8/12/20	156
Q8N4L1	TMEM151A TMEM151	468			TMEM151A	TMEM151	8/12/20	108
Q9H5L6	THAP9	903			THAP9		8/12/20	115
Q9BX74	TM2D1 BBP	207			TM2D1	BBP	8/12/20	119
Q03403	TFF2 SML1	129			TFF2	SML1	8/12/20	156
O00206	TLR4	839			TLR4		8/12/20	212
Q6UXY8	TMC5 UNQ8238/PRO33604	1006		UNQ8238/PRO33604	TMC5		8/12/20	123
P0C7T8	TMEM253 C14orf176 C14orf95	217			TMEM253	C14orf176 C14orf95	8/12/20	79
O60602	TLR5 TIL3	858			TLR5	TIL3	8/12/20	182
P04155	TFF1 BCEI PS2	84			TFF1	BCEI PS2	8/12/20	192
O43763	TLX2 HOX11L1 NCX	284			TLX2	HOX11L1 NCX	8/12/20	169
Q9H0V1	TMEM168	697			TMEM168		8/12/20	131
Q8N6I4	TMEM251 C14orf109	163			TMEM251	C14orf109	8/12/20	125
Q8N616	LINC00311 NCRNA00311 TMEM148	119			LINC00311	NCRNA00311 TMEM148	8/12/20	65
Q6PF06	TRMT10B RG9MTD3	316			TRMT10B	RG9MTD3	8/12/20	133
Q969Z4	RELT TNFRSF19L	430			RELT	TNFRSF19L	8/12/20	163
Q9UL33	TRAPPC2L HSPC126	140		HSPC126	TRAPPC2L		8/12/20	139
Q9NS56	TOPORS LUN TP53BPL	1045			TOPORS	LUN TP53BPL	8/12/20	163
A0A0B4J275	TRAV17	112			TRAV17		8/12/20	32
P01733	TRBV12-3 TCRBV12S3 TCRBV8S1	115			TRBV12-3	TCRBV12S3 TCRBV8S1	8/12/20	142
A0A0B4J1U6	TRBV9	114			TRBV9		8/12/20	31
A0A087WT03	TRAV26-1	109			TRAV26-1		8/12/20	30
